Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,06.07.2018,5100984345,"£2,300.00",Community Security (North West),,
Manchester City Council,Libraries and Theatres,Training and Development,06.07.2018,5100983994,"£2,240.00",Myerscough College,,
Manchester City Council,Adult Social Care,Transport Coach Hire,06.07.2018,5100984333,"£2,100.00",Brookfield House,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,06.07.2018,5100984350,"£2,000.00",Community Security (North West),,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,06.07.2018,5100984247,"£1,940.00",Damtra,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,06.07.2018,5100984348,"£1,802.89",Community Security (North West),,
Manchester City Council,Manchester Leisure,Special Events,06.07.2018,5100984195,"£1,770.99",A to V Ltd,,
Manchester City Council,Manchester Leisure,Hire of Equipment,06.07.2018,5100984049,"£1,686.24",Event Technical Support,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984383,"£1,552.03",The Furnishing Service Ltd,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,06.07.2018,5100984175,"£1,550.00",Planit,,
Manchester City Council,Chief Executives,Funeral and coroner related services,06.07.2018,5100984428,"£1,320.00",Redacted Personal Information,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,06.07.2018,5100983979,"£1,250.00",Aquam Water Services Limited,,
Manchester City Council,Chief Executives,Printing,06.07.2018,5100983675,"£1,240.00",Allied Publicity Serv.(Manchester),,
Manchester City Council,Manchester Leisure,Hire of Premises,06.07.2018,5100984359,"£1,198.89",Cresta World Travel Ltd,,
Manchester City Council,Regeneration Finance,Stationery,06.07.2018,5100983944,"£1,163.50",Digital ID Ltd,,
Manchester City Council,Adult Social Care,Equipment,06.07.2018,1906113429,"£1,150.94",Argos Business Solutions,,
Manchester City Council,Chief Executives,Cash Collection,06.07.2018,1906113361,"£1,089.94",Post Office (CARD ONLY),,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984377,"£1,031.03",The Furnishing Service Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984376,"£1,015.68",The Furnishing Service Ltd,,
Manchester City Council,Regeneration Finance,Professional fees,06.07.2018,5100983855,£940.00,Keelagher Okey Associates Ltd t/a,,
Manchester City Council,Chief Executives,Advertising,06.07.2018,5100984191,£900.00,Guardian News and Media Limited,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984409,£898.03,The Furnishing Service Ltd,,
Manchester City Council,Adult Social Care,Refuse Collection,06.07.2018,5100984255,£890.00,Environment Agency,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984384,£876.71,The Furnishing Service Ltd,,
Manchester City Council,Adult Social Care,Equipment,06.07.2018,1906113239,£872.91,Argos Business Solutions,,
Manchester City Council,Chief Executives,Compensation Payments,06.07.2018,1906112291,£856.65,Target Psychology Ltd,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,06.07.2018,5100984297,£850.00,Heritage Architecture Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984386,£836.00,The Furnishing Service Ltd,,
Manchester City Council,Chief Executives,Subsistence and Conference Expenses,06.07.2018,1906113384,£813.46,BAIXA AND CHIADO HOTEL SA,,
Manchester City Council,Manchester Leisure,Professional fees,06.07.2018,1906113244,£800.00,ENGAGE,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,06.07.2018,5100984316,£800.00,Edgerton Management Services,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,06.07.2018,5100984233,£785.07,Redacted Personal Information,,
Manchester City Council,Hospitality + Trading Services,Security,06.07.2018,5100984009,£783.26,Showsec International Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984382,£772.03,The Furnishing Service Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984399,£772.03,The Furnishing Service Ltd,,
Manchester City Council,Adult Social Care,Personal needs of client,06.07.2018,1906113487,£768.50,PREMIER INN44020530,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2018,5100984279,£760.46,R & M Developments Ltd,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2018,5100984282,£760.46,R & M Developments Ltd,,
Manchester City Council,Adult Social Care,Rents,06.07.2018,1906105907,£750.00,Kirkham Property,,
Manchester City Council,Corporate Services,Professional fees,06.07.2018,5100984214,£750.00,Edmond Shipway,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,06.07.2018,5100984331,£750.00,Priory & Needham Avenue,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2018,5100984278,£748.60,R & M Developments Ltd,,
Manchester City Council,Adult Social Care,Payments for services,06.07.2018,5100984280,£742.00,Vision Beyond Autism,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,06.07.2018,5100984187,£736.77,Redacted Personal Information,,
Manchester City Council,Adult Social Care,Payments for services,06.07.2018,5100984159,£720.00,The Skills Company,,
Manchester City Council,Chief Executives,Payments for services,06.07.2018,5100984215,£718.00,Redacted Personal Information,,
Manchester City Council,Chief Executives,Advertising,06.07.2018,5100984324,£710.10,TES Global Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984404,£710.00,The Furnishing Service Ltd,,
Manchester City Council,Adult Social Care,Rents,06.07.2018,1906105903,£700.00,Redacted Personal Information,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984387,£688.68,The Furnishing Service Ltd,,
Manchester City Council,Chief Executives,Funeral and coroner related services,06.07.2018,5100984422,£664.10,Redacted Personal Information,,
Manchester City Council,Adult Social Care,Signers/Interpreters Fees,06.07.2018,5100984200,£658.40,Language Line Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984397,£646.03,The Furnishing Service Ltd,,
Manchester City Council,Adult Social Care,Signers/Interpreters Fees,06.07.2018,5100984197,£635.20,Language Line Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984392,£627.00,The Furnishing Service Ltd,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,06.07.2018,1906113435,£624.00,The Financial Times Ltd,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,06.07.2018,1906113436,£624.00,The Financial Times Ltd,,
Manchester City Council,Manchester Leisure,Equipment,06.07.2018,1906113275,£603.00,PLASTICS DIRECT LTD,,
Manchester City Council,Chief Executives,Subsistence and Conference Expenses,06.07.2018,1906113219,£598.61,HOTEL NOVOTEL,,
Manchester City Council,Adult Social Care,Rents,06.07.2018,1906112744,£597.00,Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,06.07.2018,5100984366,£596.90,Cresta World Travel Ltd,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,06.07.2018,5100984178,£593.10,Redacted Personal Information,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984370,£584.00,The Furnishing Service Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984389,£584.00,The Furnishing Service Ltd,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984408,£581.68,The Furnishing Service Ltd,,
Manchester City Council,Manchester Leisure,Training and Development,06.07.2018,5100984299,£572.45,Ocr,,
Manchester City Council,Adult Social Care,Personal needs of client,06.07.2018,1906113395,£566.00,PREMIER INN45927025,,
Manchester City Council,Chief Executives,Advertising,06.07.2018,1906113152,£556.79,Facebook (CARD ONLY),,
Manchester City Council,Chief Executives,Advertising,06.07.2018,1906113151,£553.10,Facebook (CARD ONLY),,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984403,£552.00,The Furnishing Service Ltd,,
Manchester City Council,Manchester Leisure,"Clothes, Uniform and Laundry",06.07.2018,1906113160,£550.00,EXTREME LARGENESS,,
Manchester City Council,Chief Executives,Professional fees,06.07.2018,1906112750,£548.18,Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Subsistence and Conference Expenses,06.07.2018,5100984361,£545.60,Cresta World Travel Ltd,,
Manchester City Council,Chief Executives,Purchase Card Default - Revenue,06.07.2018,5100984363,£545.28,Cresta World Travel Ltd,,
Manchester City Council,Chief Executives,Advertising,06.07.2018,1906113216,£542.77,Facebook (CARD ONLY),,
Manchester City Council,Adult Social Care,Hire of Premises,06.07.2018,5100984045,£532.50,Quaker Trading Ltd,,
Manchester City Council,Adult Social Care,Rents,06.07.2018,1906112711,£520.00,Redacted Personal Information,,
Manchester City Council,Corporate Services,Welfare Provision Service Awards,06.07.2018,5100984401,£508.00,The Furnishing Service Ltd,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,06.07.2018,5100984284,£507.21,R & M Developments Ltd,,
Manchester City Council,Adult Social Care,Books - Adult Fiction,06.07.2018,1906113319,£504.49,Amazon Co.Uk,,
Manchester City Council,Hospitality + Trading Services,Internal Repairs and Maintenance for buildings,06.07.2018,5100983988,£500.00,Manchester Medical Services Ltd,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,06.07.2018,5100984327,£500.00,Friends of Fallowfield,,
Manchester City Council,Adult Social Care,Personal needs of client,06.07.2018,5100984217,£500.00,Hemingways Marketing Services Ltd,,
Manchester City Council,Adult Social Care,Legal Fees,06.07.2018,5100984236,£500.00,Kings Chambers,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,06.07.2018,5100984261,"-£1,327.50",Gleeds Management Services Limited,,
Manchester City Council,Chief Executives,I T Provision,06.07.2018,5100984208,"-£17,500.00",Unitune SAP Solutions Ltd,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,06.07.2018,5100983986,"-£41,011.59",Manchester Working Ltd,,
Manchester City Council,Adult Social Care,Payments for services,09.07.2018,5100983906,"£457,737.44",Manchester College,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,09.07.2018,5100983829,"£316,870.16",Greater Manchester Mental Health,,
Manchester City Council,Adult Social Care,Payments for services,09.07.2018,5100983905,"£129,300.00",Manchester College,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,09.07.2018,5100983829,"£65,833.34",Greater Manchester Mental Health,,
Manchester City Council,Adult Social Care,Residential Care Homes Payments,09.07.2018,5100984470,"£53,120.59",NHS Central Manchester CCG,,
Manchester City Council,Adult Social Care,Professional fees,09.07.2018,5100984339,"£46,212.37",Cruden Group Ltd,,
Manchester City Council,Regeneration Finance,Internal Repairs and Maintenance for buildings,09.07.2018,5100984416,"£46,039.61",Manchester Working Ltd,,
Manchester City Council,Hospitality + Trading Services,Equipment,09.07.2018,5100984445,"£33,536.60",Manke Markets UK Ltd,,
Manchester City Council,Manchester Leisure,Special Events,09.07.2018,5100984425,"£30,700.00",Walk The Plank Ltd,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,09.07.2018,5100983829,"£29,076.84",Greater Manchester Mental Health,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,09.07.2018,5100983829,"£23,526.50",Greater Manchester Mental Health,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.07.2018,5100984518,"£21,028.45",Manchester Working Ltd,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,09.07.2018,5100984480,"£18,626.94",Carlton Fuels Ltd,,
Manchester City Council,General Fund,Levies,09.07.2018,1906102928,"£15,881.02",Trafford M B C,,
Manchester City Council,Adult Social Care,Professional fees,09.07.2018,5100984465,"£13,535.40",Charles Bailey Associates Ltd,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.07.2018,5100984516,"£10,095.49",Manchester Working Ltd,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.07.2018,5100984441,"£10,000.00",Independent Choices Gtr Manchester,,
Manchester City Council,Adult Social Care,Compensation Payments,09.07.2018,1906112712,"£10,000.00",Simpson Millar LLP,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.07.2018,5100984492,"£6,737.00",Great Places Housing Association,,
Manchester City Council,Chief Executives,Agency staff provision,09.07.2018,5100984546,"£6,534.55",Eden Brown Synergy,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.07.2018,5100984517,"£6,253.08",Manchester Womens Aid,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.07.2018,5100984344,"£6,145.48",Cruden Group Ltd,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.07.2018,5100984460,"£4,612.00",Stannah Lift Services Ltd,,
Manchester City Council,Hospitality + Trading Services,Security,09.07.2018,5100984240,"£4,137.98",Showsec International Ltd,,
Manchester City Council,Chief Executives,Agency staff provision,09.07.2018,5100984521,"£3,439.94",Hays Personnel,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.07.2018,5100984514,"£3,223.23",Manchester Working Ltd,,
Manchester City Council,Corporate Services,Licences Purchase,09.07.2018,5100984244,"£2,140.00",Due North Ltd,,
Manchester City Council,Adult Social Care,Equipment,09.07.2018,5100984502,"£2,130.00",Invacare Limited,,
Manchester City Council,Chief Executives,Funeral and coroner related services,09.07.2018,5100984435,"£2,055.00",The Pennine Acute Hospital Nhs Trus,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,09.07.2018,5100984667,"£1,900.00",Clean-Up UK Limited,,
Manchester City Council,Adult Social Care,Transport Coach Hire,09.07.2018,5100984295,"£1,900.00",APL Coachhire,,
Manchester City Council,Chief Executives,Signers/Interpreters Fees,09.07.2018,5100984433,"£1,880.30",Interpreter Booking Services,,
Manchester City Council,Adult Social Care,Payment of School Budget Share,09.07.2018,5100984462,"£1,560.00",Manchester Secondary PRU,,
Manchester City Council,Adult Social Care,Landline Telephone Charges,09.07.2018,5100984223,"£1,530.00",Digital Exchange Products Ltd,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.07.2018,5100984508,"£1,521.06",Rexel UK Ltd,,
Manchester City Council,Adult Social Care,Payments for services,09.07.2018,5100984237,"£1,505.00",Cais Ltd,,
Manchester City Council,Corporate Services,Professional fees,09.07.2018,5100984265,"£1,327.50",Gleeds Management Services Limited,,
Manchester City Council,Regeneration Finance,Equipment,09.07.2018,5100984448,"£1,290.00",E Jordon (Refrigeration) Ltd,,
Manchester City Council,Adult Social Care,Travel,09.07.2018,1906104926,"£1,175.00",R.S.P. Ltd Br Business Systems Ltd,,
Manchester City Council,Adult Social Care,Equipment,09.07.2018,5100984455,"£1,153.50",Aidapt Bathrooms Ltd,,
Manchester City Council,Chief Executives,Printing,09.07.2018,5100984452,"£1,120.00",Contact Photographic Services Ltd,,
Manchester City Council,Adult Social Care,Security,09.07.2018,5100984628,"£1,091.00",WADSWORTH SECURITY PRODUCTS,,
Manchester City Council,Regeneration Finance,Cleaning Equipment and Materials,09.07.2018,5100984616,"£1,000.12",Alliance Disposables Ltd,,
Manchester City Council,Manchester Leisure,Legal Fees,09.07.2018,1906112341,"£1,000.00",Redacted Personal Information,,
Manchester City Council,Manchester Leisure,Professional fees,09.07.2018,5100984466,£994.00,Modern Designers,,
Manchester City Council,Adult Social Care,Furniture,09.07.2018,5100984650,£888.60,The Furnishing Service Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115453,£880.49,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115671,£878.86,Brake Bros Foodservice Ltd,,
Manchester City Council,Adult Social Care,Furniture,09.07.2018,5100984653,£863.90,The Furnishing Service Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115602,£856.99,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115416,£853.85,Brake Bros Foodservice Ltd,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,09.07.2018,5100984447,£850.00,C-Ways Limited,,
Manchester City Council,Highways Services,Hire of Machinery,09.07.2018,5100984504,£844.16,R & M Developments Ltd,,
Manchester City Council,Chief Executives,Funeral and coroner related services,09.07.2018,5100984432,£830.70,Redacted Personal Information,,
Manchester City Council,Highways Services,Hire of Machinery,09.07.2018,5100984503,£829.38,R & M Developments Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115461,£821.91,Brake Bros Foodservice Ltd,,
Manchester City Council,Highways Services,Hire of Machinery,09.07.2018,5100984501,£812.66,R & M Developments Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115651,£789.17,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115544,£763.53,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115535,£754.62,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115467,£748.29,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115371,£733.66,Ralph Livesey Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115490,£696.20,Brake Bros Foodservice Ltd,,
Manchester City Council,Chief Executives,Printing,09.07.2018,5100984338,£690.00,Silk Group Ltd,,
Manchester City Council,Chief Executives,Printing,09.07.2018,5100984330,£670.00,Silk Group Ltd,,
Manchester City Council,Adult Social Care,Travel,09.07.2018,1906104926,£667.10,R.S.P. Ltd Br Business Systems Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115530,£652.41,Brake Bros Foodservice Ltd,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.07.2018,5100984032,£635.70,Turner & Townsend Cost,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115507,£624.98,Chicken Joes Limited,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115500,£612.57,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115560,£611.88,Brake Bros Foodservice Ltd,,
Manchester City Council,Chief Executives,Hire of Equipment,09.07.2018,5100984481,£609.40,Universal Live,,
Manchester City Council,Environment and Operations,Professional fees,09.07.2018,5100984479,£595.00,Solution Talk LLP,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,09.07.2018,5100984491,£590.00,P Mcguinness & Co Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115312,£588.91,Ralph Livesey Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115676,£587.90,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115668,£577.44,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115464,£575.18,Brake Bros Foodservice Ltd,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.07.2018,5100984507,£572.40,Rexel UK Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115545,£571.13,Brake Bros Foodservice Ltd,,
Manchester City Council,Manchester Leisure,Hire of Premises,09.07.2018,5100984453,£565.00,Luther King House Educational Trust,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115622,£557.46,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115619,£543.83,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115491,£543.39,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115564,£538.43,Brake Bros Foodservice Ltd,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.07.2018,5100984511,£533.84,Rexel UK Ltd,,
Manchester City Council,Adult Social Care,Foster Payments,09.07.2018,1906115207,£532.00,Redacted Personal Information,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115305,£526.06,Ralph Livesey Ltd,,
Manchester City Council,Adult Social Care,"Clothes, Uniform and Laundry",09.07.2018,5100984610,£525.00,Alliance Disposables Ltd,,
Manchester City Council,Chief Executives,Examination Fees,09.07.2018,5100984432,£525.00,Redacted Personal Information,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115504,£522.72,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115266,£521.50,Ralph Livesey Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115581,£520.88,Brake Bros Foodservice Ltd,,
Manchester City Council,Adult Social Care,Personal needs of client,09.07.2018,5100984681,£508.00,The Furnishing Service Ltd,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,09.07.2018,5100984489,£501.90,Redacted Personal Information,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115503,£500.12,Brake Bros Foodservice Ltd,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,09.07.2018,1906115270,£500.07,Ralph Livesey Ltd,,
Manchester City Council,Adult Social Care,Security,09.07.2018,5100984355,"-£2,354.43",Community Security (North West),,
Manchester City Council,Chief Executives,Rents,09.07.2018,5100984318,"-£3,600.00",Manchester Creative Digital Assets,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.07.2018,5100984488,"-£6,737.00",Great Places Housing Association,,
Manchester City Council,Hospitality + Trading Services,Vehicle Fuel Costs,09.07.2018,5100984483,"-£18,626.94",Carlton Fuels Ltd,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,10.07.2018,5100984499,"£65,000.00",Riverside ECHG,,
Manchester City Council,Environment and Operations,Construction Works,10.07.2018,5100984321,"£63,792.33",Dowhigh Ltd,,
Manchester City Council,Regeneration Finance,Professional fees,10.07.2018,5100983811,"£35,956.00",Northwards Housing Limited,,
Manchester City Council,Highways Services,Payments to Contractors,10.07.2018,5100984524,"£24,459.19",National Car Parks Ltd Season Ticke,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,10.07.2018,5100984582,"£20,000.00",Healthwatch Manchester,,
Manchester City Council,Adult Social Care,Transport Coach Hire,10.07.2018,5100984534,"£17,678.00",Redacted Personal Information,,
Manchester City Council,Corporate Services,Bank Charges,10.07.2018,1906115727,"£17,591.74",Capita Business Services Ltd,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,10.07.2018,5100984550,"£16,808.95",NOMS,,
Manchester City Council,Adult Social Care,External repairs and maintenance for buildings,10.07.2018,5100984530,"£16,508.50",Hoist & Shower Chair Company,,
Manchester City Council,Corporate Services,Bank Charges,10.07.2018,1906115724,"£16,368.15",Capita Business Services Ltd,,
Manchester City Council,Chief Executives,Professional fees,10.07.2018,5100984587,"£13,000.00",Chime Communications Limited,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,10.07.2018,5100984742,"£12,920.55",Coffee4Craig Ltd,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,10.07.2018,5100984822,"£10,833.25",Alzheimers Society (Mcr Branch),,
Manchester City Council,Corporate Services,General Office expenses,10.07.2018,5100984596,"£10,000.00",Trafford M.B.C.,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.07.2018,5100984781,"£9,963.37",Greater Manchester Coalition Of Dis,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,10.07.2018,5100984966,"£9,440.00",Clean-Up UK Limited,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,10.07.2018,5100984721,"£8,367.13",Manchester International Festival,,
Manchester City Council,Adult Social Care,Furniture,10.07.2018,5100984968,"£8,317.57",H Jenkinson & Co Ltd.,,
Manchester City Council,Adult Social Care,Payments for services,10.07.2018,5100984577,"£6,948.00",National Offender Mgt Services,,
Manchester City Council,Chief Executives,Agency staff provision,10.07.2018,5100984207,"£6,534.55",Eden Brown Synergy,,
Manchester City Council,Adult Social Care,Payments for services,10.07.2018,5100984575,"£6,369.00",National Offender Mgt Services,,
Manchester City Council,Adult Social Care,Payments for services,10.07.2018,5100984714,"£5,859.00",National Offender Mgt Services,,
Manchester City Council,Highways Services,Professional fees,10.07.2018,5100983821,"£5,846.00",AECOM Limited,,
Manchester City Council,Adult Social Care,Payments for services,10.07.2018,5100984570,"£5,670.00",National Offender Mgt Services,,
Manchester City Council,Manchester Leisure,Contract Cleaning External,10.07.2018,5100984557,"£5,550.00",Clearview Event Services Limited,,
Manchester City Council,Manchester Leisure,Contract Cleaning External,10.07.2018,5100984555,"£5,525.80",Clearview Event Services Limited,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,10.07.2018,5100984563,"£4,390.00",Independent Choices Gtr Manchester,,
Manchester City Council,Insurance Fund,Insurance,10.07.2018,1906087539,"£4,335.01",AIG,,
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,10.07.2018,5100984567,"£4,028.00",Chapter 1,,
Manchester City Council,Chief Executives,Agency staff provision,10.07.2018,5100984579,"£3,370.75",Cadence Resourcing Ltd,,
Manchester City Council,GMIST (Greater Mcr Integrated),Storage Costs,10.07.2018,5100984088,"£3,326.33",DeepStore,,
Manchester City Council,Adult Social Care,Personal Needs of Residents - Other Amenities,10.07.2018,5100984527,"£3,170.20",Barnardo's North West,,
Manchester City Council,Chief Executives,Agency staff provision,10.07.2018,5100984537,"£3,099.85",Ashberry Recruitment Ltd,,
Manchester City Council,Highways Services,External repairs and maintenance for buildings,10.07.2018,5100984520,"£2,963.51",Manchester Working Ltd,,
Manchester City Council,Chief Executives,Agency staff provision,10.07.2018,5100984558,"£2,678.09",NonStop Recruitment Ltd,,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,10.07.2018,5100984456,"£2,500.00",Arboricultural Services Treework,,
Manchester City Council,Adult Social Care,Extra Care Sheltered Housing Payments,10.07.2018,5100984538,"£2,483.70",Creative Support Ltd,,
Manchester City Council,Manchester Leisure,Payments for services,10.07.2018,5100984552,"£2,460.00",Clearview Event Services Limited,,
Manchester City Council,Highways Services,Professional fees,10.07.2018,5100984556,"£2,449.00",AECOM Limited,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,10.07.2018,5100984539,"£2,290.00",Great Places Housing Association,,
Manchester City Council,Environment and Operations,Legal Fees,10.07.2018,1906114241,"£2,250.00",Redacted Personal Information,,
Manchester City Council,Chief Executives,Advertising,10.07.2018,5100984727,"£2,160.00",MediaCo Outdoor Limited,,
Manchester City Council,Manchester Leisure,Contract Cleaning External,10.07.2018,5100984554,"£2,120.00",Clearview Event Services Limited,,
Manchester City Council,Chief Executives,Professional fees,10.07.2018,5100984756,"£1,937.30",Chime Communications Limited,,
Manchester City Council,Adult Social Care,Payments for services,10.07.2018,5100984571,"£1,890.00",National Offender Mgt Services,,
Manchester City Council,Regeneration Finance,Payments to Sub-Contractors,10.07.2018,5100984472,"£1,875.00",Sitewatch Fire & Surveillance Ltd,,
Manchester City Council,Adult Social Care,Personal needs of client,10.07.2018,5100984594,"£1,818.51",Specialised Orthotic Services Ltd,,
Manchester City Council,Adult Social Care,Payments for services,10.07.2018,5100984574,"£1,701.00",National Offender Mgt Services,,
Manchester City Council,Highways Services,Payments to Contractors,10.07.2018,5100984524,"£1,561.23",National Car Parks Ltd Season Ticke,,
