Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,
Manchester City Council,Adult Social Care,Stationery,13.11.2017,5100946621,"£2,207.40",Northgate Public Services (UK) Ltd,,,
Manchester City Council,Adult Social Care,Stationery,13.11.2017,5100947646,"£1,036.65",Banner Group Limited,,,
Manchester City Council,Adult Social Care,Professional fees,13.11.2017,5100946304,"£14,000.00",University Of Manchester,,,
Manchester City Council,Adult Social Care,Professional fees,13.11.2017,5100947060,"£11,000.00",SCI Assessments Ltd.,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,13.11.2017,5100938135,"£7,500.00",North West Employers Ltd,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,13.11.2017,5100947714,"£45,171.92",Cromwood Ltd,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,13.11.2017,5100947748,"£12,811.00",G & A Taylor Hotels Ltd,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,13.11.2017,5100947414,"£17,199.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,13.11.2017,5100947314,"£2,367.16",K L Properties,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,13.11.2017,5100947548,"£68,902.47",Bury M.B.C.,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,13.11.2017,5100947551,"£9,667.82",Bury M.B.C.,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,5100946752,"£154,629.66",Greater Manchester Mental Health,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,5100946752,"£32,916.66",Greater Manchester Mental Health,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,5100946752,"£14,538.42",Greater Manchester Mental Health,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,5100946752,"£11,763.25",Greater Manchester Mental Health,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,1905818657,£600.76,Barts Health NHS Trust,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,1905819022,"£3,951.00",Virgin Care Servs Ltd,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,1905819023,"£1,253.00",Virgin Care Servs Ltd,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,13.11.2017,1905818665,"£1,710.00",Guy's and St Thomas' NHS FT,,,
Manchester City Council,Adult Social Care,Payments for services,13.11.2017,5100947592,£578.35,The Together Trust,,,
Manchester City Council,Adult Social Care,Payments for services,13.11.2017,5100947605,"£6,311.91",Lakeside School,,,
Manchester City Council,Adult Social Care,Payments for services,13.11.2017,5100946679,"£62,784.83",ABL Health Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,13.11.2017,5100946666,"£27,500.00",ABL Health Ltd,,,
Manchester City Council,Adult Social Care,Payments for services,13.11.2017,5100946906,"£1,055.20",Vision Beyond Autism,,,
Manchester City Council,Adult Social Care,Payments to Contractors,13.11.2017,1905818918,"£31,054.59",Coutts & Co,,,
Manchester City Council,Adult Social Care,Supporting People Payments,13.11.2017,5100945861,"£116,332.16",Creative Support Ltd,,,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,13.11.2017,5100947687,"£32,872.72",Ringway Mews Nursing Home,,,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,13.11.2017,5100947727,"£13,435.71",Ringway Mews Nursing Home,,,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,13.11.2017,5100947730,"£6,986.56",Ringway Mews Nursing Home,,,
Manchester City Council,Adult Social Care,Registered Nursing Homes Permanent Payments,13.11.2017,5100947737,"£5,016.00",Ringway Mews Nursing Home,,,
Manchester City Council,Adult Social Care,Personal needs of client,13.11.2017,5100947554,"£2,815.00",Careflex Limited,,,
Manchester City Council,Adult Social Care,Personal needs of client,13.11.2017,5100947556,"£2,800.00",Careflex Limited,,,
Manchester City Council,Adult Social Care,Legal Fees,13.11.2017,5100947617,£750.00,Outer Temple Chambers,,,
Manchester City Council,Chief Executives,Compensation Payments,13.11.2017,5100947621,"£1,250.00",Kings Chambers,,,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,13.11.2017,5100946557,"£57,012.95",Engie Regeration Limited t/a,,,
Manchester City Council,Childrens Services,Building Works,13.11.2017,5100946506,"£10,865.00",United Learning Trust,,,
Manchester City Council,Corporate Services,Training and Development,13.11.2017,5100947295,£975.00,QA Ltd,,,
Manchester City Council,Corporate Services,Training and Development,13.11.2017,1905819158,"£3,632.00",Risk & Assurance Insights,,,
Manchester City Council,Corporate Services,Storage Costs,13.11.2017,5100947236,"£9,221.50",Box-It (NW),,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,13.11.2017,5100947735,"£78,712.50",Faithful & Gould Ltd,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,13.11.2017,5100947716,"£2,000.00",Integra Consulting Engineers Ltd,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,13.11.2017,5100947739,"£130,000.00",Purcell Miller Tritton LLP,,,
Manchester City Council,Adult Social Care,Legal Fees,13.11.2017,1905809137,"£2,125.00",Cheadle Medicolegal Services Ltd,,,
Manchester City Council,Housing General Fund,Works and associated costs for Land and Buildings,13.11.2017,1905817542,"£6,999.32",Electricity North West Limited,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820096,"£16,810.00",Pollock Lifts Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820102,"£6,138.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820081,"£5,653.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820086,"£5,309.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820076,"£4,881.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820080,"£4,515.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820075,"£4,455.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820084,"£4,249.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820098,"£3,644.07",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820085,"£3,387.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820097,"£2,669.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820078,"£2,572.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820083,"£2,385.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820077,"£2,349.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820074,"£2,228.00",Stannah Lift Services Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820079,"£4,915.00",Thyssenkrupp Encasa,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820087,"£4,211.00",Thyssenkrupp Encasa,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820082,"£4,065.00",Thyssenkrupp Encasa,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820101,"£2,743.00",Hoist & Shower Chair Company,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,5100947689,"£80,849.93",One Manchester Limited,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820090,"£14,674.73",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820095,"£9,043.80",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820088,"£8,196.32",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820092,"£7,156.68",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820099,"£6,119.48",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820105,"£5,850.21",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820089,"£5,278.71",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820104,"£4,926.56",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820094,"£4,893.61",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820106,"£4,862.94",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820108,"£4,409.36",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820091,"£3,152.53",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820100,"£1,225.00",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905820093,"£1,158.60",UPS Building & Maintenance Ltd,,,
Manchester City Council,Housing General Fund,Building Works,13.11.2017,1905816944,£575.00,Redacted Personal Information,,,
Manchester City Council,Housing General Fund,Surplus property Fees,13.11.2017,1905817153,"£2,916.00",Lambert Smith Hampton,,,
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,13.11.2017,5100946292,"£1,693,333.33",Northwards Housing Limited,,,
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,13.11.2017,5100946616,"£1,693,333.33",Northwards Housing Limited,,,
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,13.11.2017,5100947540,"-£1,693,333.33",Northwards Housing Limited,,,
Manchester City Council,Housing Revenue Account,Professional fees,13.11.2017,5100947682,"£123,063.94",Eastlands Homes Partnership Ltd,,,
Manchester City Council,Housing Revenue Account,Professional fees,13.11.2017,5100947591,"£100,000.00",Eastlands Homes Partnership Ltd,,,
Manchester City Council,Housing Revenue Account,Professional fees,13.11.2017,5100947312,"£11,950.00",Northwards Housing Limited,,,
Manchester City Council,Housing Revenue Account,I T Provision,13.11.2017,5100946645,"£1,920.39",Computacenter (UK) Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,13.11.2017,5100947393,"£1,325.89",Venn Group Ltd,,,
Manchester City Council,Chief Executives,Agency staff provision,13.11.2017,5100947688,£809.37,Reed Employment Plc,,,
Manchester City Council,Chief Executives,Agency staff provision,13.11.2017,5100947666,"£4,220.00",Hays Personnel,,,
Manchester City Council,Chief Executives,Agency staff provision,13.11.2017,5100946053,"£1,859.04",LAW Absolute,,,
Manchester City Council,Chief Executives,Agency staff provision,13.11.2017,5100946049,"£1,938.78",Barker Ross Health & Social Care,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,13.11.2017,5100947533,£769.30,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,13.11.2017,5100946543,£710.96,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,13.11.2017,5100946590,£577.50,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,13.11.2017,5100947664,£644.27,Redacted Personal Information,,,
Manchester City Council,Chief Executives,Hire of Equipment,13.11.2017,5100946534,"£10,961.74",Sterling Event Group,,,
Manchester City Council,Chief Executives,Printing,13.11.2017,5100946703,"£84,000.00",Silk Group Ltd,,,
Manchester City Council,Chief Executives,Printing,13.11.2017,5100947389,"£1,790.00",Allied Publicity Serv.(Manchester),,,
Manchester City Council,Chief Executives,Professional fees,13.11.2017,5100947431,"£6,867.66",Foreign and Commonwealth Office,,,
Manchester City Council,Chief Executives,Advertising,13.11.2017,5100946223,£720.00,MediaCo Outdoor Limited,,,
Manchester City Council,Chief Executives,Licences Purchase,13.11.2017,5100946377,"£130,000.00",Cloud Technology Solutions Ltd,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,13.11.2017,5100947545,"£6,000.00",Integra Consulting Engineers Ltd,,,
Manchester City Council,Adult Social Care,Legal Fees,13.11.2017,1905809136,"£6,664.00",Redacted Personal Information,,,
Manchester City Council,Regeneration Finance,Storage Costs,13.11.2017,5100946993,"£1,459.27",Data Space Limited,,,
Manchester City Council,Regeneration Finance,Stationery,13.11.2017,5100947652,£527.56,Banner Group Limited,,,
Manchester City Council,Regeneration Finance,General Office expenses,13.11.2017,5100947739,"£1,631.32",Purcell Miller Tritton LLP,,,
Manchester City Council,Regeneration Finance,Professional fees,13.11.2017,5100934233,"£1,070.00",HCA International Ltd,,,
Manchester City Council,Highways Services,Grounds Maintenance Costs,13.11.2017,5100947112,"£4,666.64",AECOM Limited,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,13.11.2017,5100947674,"£4,957.37",Kenny Bros (Civil Eng) Ltd,,,
Manchester City Council,Highways Services,Professional fees,13.11.2017,5100946291,"£2,160.00",Wilde Consultants Ltd,,,
Manchester City Council,General Fund,Levies - Cash Limit,13.11.2017,1905552700,"£1,998,502.40",GMCA,,,
Manchester City Council,Insurance Fund,Insurance,13.11.2017,1905817904,£800.00,Forbes Solicitors,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,14.11.2017,5100947862,£595.00,Image Everything Ltd,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,14.11.2017,5100948008,"£16,816.00",Glasdon U.K. Limited,,,
Manchester City Council,Manchester Leisure,Rents,14.11.2017,5100947916,£540.00,Jain Samaj (Manchester),,,
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,14.11.2017,5100945941,"£1,100.00",F.R.Sharrock Ltd,,,
Manchester City Council,Manchester Leisure,Grounds Maintenance Costs,14.11.2017,5100945943,£900.00,F.R.Sharrock Ltd,,,
Manchester City Council,Manchester Leisure,Professional fees,14.11.2017,5100948020,"£3,898.96",Redacted Personal Information,,,
Manchester City Council,Manchester Leisure,Professional fees,14.11.2017,5100947855,"£27,870.00",Belle Vue Manchester,,,
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,14.11.2017,5100947765,"£2,250.00",Street League,,,
Manchester City Council,Manchester Leisure,Third party payments relating to Voluntary Organisations,14.11.2017,5100947963,"-£2,250.00",Street League,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£7,995.00",21CC Group Ltd,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£4,245.00",21CC Group Ltd,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£3,645.00",21CC Group Ltd,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£1,695.00",21CC Group Ltd,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£1,695.00",21CC Group Ltd,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£1,295.00",21CC Group Ltd,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£1,295.00",21CC Group Ltd,,,
Manchester City Council,Manchester Leisure,Expenditure re Internal Trading Ordered Externally,14.11.2017,5100945913,"£1,295.00",21CC Group Ltd,,,
Manchester City Council,Libraries and Theatres,Professional fees,14.11.2017,1905818656,"£4,500.00",Speakers Corner,,,
Manchester City Council,Hospitality + Trading Services,Tyres and Tubes,14.11.2017,5100947859,"£1,259.86",ATS Euromaster Limited,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,14.11.2017,5100948021,"£1,169.00",R & M Developments Ltd,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,14.11.2017,5100948029,"£1,169.00",R & M Developments Ltd,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,14.11.2017,5100948025,"£1,103.75",R & M Developments Ltd,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,14.11.2017,5100948032,"£1,038.50",R & M Developments Ltd,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,14.11.2017,5100948024,£883.00,R & M Developments Ltd,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,14.11.2017,5100948026,£883.00,R & M Developments Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820890,"£1,305.29",Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820841,"£1,026.58",Brake Bros Foodservice Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820889,£665.63,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820830,£579.85,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820814,£562.91,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820967,£529.11,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820817,£510.25,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820826,£509.62,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,14.11.2017,1905820951,£506.81,Ralph Livesey Ltd,,,
Manchester City Council,Hospitality + Trading Services,Funeral and coroner related services,14.11.2017,5100948000,"£1,095.00",Specimen Trees,,,
Manchester City Council,Adult Social Care,Legal Fees,14.11.2017,5100947784,£582.05,Sph Costing Services Ltd,,,
Manchester City Council,Chief Executives,Compensation Payments,14.11.2017,1905820741,£598.83,Pickering Psychology,,,
Manchester City Council,Environment and Operations,Professional fees,14.11.2017,5100947956,£595.00,Solution Talk LLP,,,
Manchester City Council,Adult Social Care,Training and Development,14.11.2017,5100947958,£800.00,Safe Choice Training Ltd,,,
Manchester City Council,Adult Social Care,Rents,14.11.2017,5100947830,£509.70,Southway Housing Trust,,,
Manchester City Council,Adult Social Care,Rents,14.11.2017,5100941771,"£2,529.65",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Rents,14.11.2017,5100941772,"£1,089.92",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Rents,14.11.2017,5100941773,"£1,089.92",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Rents,14.11.2017,5100947788,"£4,990.04",Eeven Homes Ltd.,,,
Manchester City Council,Adult Social Care,Cleaning Equipment and Materials,14.11.2017,5100947804,"£1,330.79",Initial Medical Services,,,
Manchester City Council,Adult Social Care,Travel,14.11.2017,1905819162,"£2,259.90",R.S.P. Ltd Br Business Systems Ltd,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,14.11.2017,5100946113,"£17,720.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,14.11.2017,5100946123,"£1,615.00",JKR Travel,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,14.11.2017,5100947947,"£60,187.00",Westfield Minibuses,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,14.11.2017,5100945755,"£3,460.00",T/a K Travel,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,14.11.2017,5100948028,"£1,926.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,14.11.2017,5100948027,"£1,819.00",Redacted Personal Information,,,
Manchester City Council,Adult Social Care,Equipment,14.11.2017,5100947900,"£3,000.00",Invacare Limited,,,
Manchester City Council,Adult Social Care,Equipment,14.11.2017,5100947868,£975.00,Drive Devilbiss Healthcare Ltd,,,
Manchester City Council,Adult Social Care,Furniture,14.11.2017,5100948006,£650.00,Back Care Solutions Ltd,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947941,"£2,958.00",Barnardo's,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947807,"£8,750.00",The Children'S Society Services Ltd,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947885,"-£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947886,"-£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947887,"-£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947888,"-£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947872,"-£150,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947946,£500.00,Just Psychology CIC,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947835,"£4,995.90",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947833,"£2,395.12",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947838,"£1,262.04",Wythenshawe Community Housing Group,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947926,"£2,700.00",Pepper Stacey Ltd,,,
Manchester City Council,Adult Social Care,Professional fees,14.11.2017,5100947936,"£1,800.00",Pepper Stacey Ltd,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,14.11.2017,5100947873,"£150,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,14.11.2017,5100947889,"£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,14.11.2017,5100947890,"£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,14.11.2017,5100947891,"£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,14.11.2017,5100947892,"£75,000.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,14.11.2017,5100947805,"£276,011.00",NHS Central Manchester CCG,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,14.11.2017,5100947806,"-£36,025.00",NHS Central Manchester CCG,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100947670,"£1,062.00",MCCR,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100948079,"£99,583.26",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100948086,"£45,935.85",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100948086,"£36,980.75",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100948086,"£16,666.66",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100948070,"-£99,583.26",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100948082,"-£99,583.26",Riverside ECHG,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,14.11.2017,5100947708,£765.00,Afro Carribean Care Group,,,
Manchester City Council,Adult Social Care,Infrastructure Acquisition,14.11.2017,5100947764,"£25,541.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Infrastructure Acquisition,14.11.2017,5100947762,"£7,438.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Infrastructure Acquisition,14.11.2017,5100947759,"£6,625.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Infrastructure Acquisition,14.11.2017,5100947758,"£3,890.00",Manchester University NHS,,,
Manchester City Council,Adult Social Care,Infrastructure Acquisition,14.11.2017,5100947755,"£3,549.00",Manchester University NHS,,,
Manchester City Council,Corporate Services,General Payments not otherwise categorised,14.11.2017,1905821212,"£2,729.54",HM Revenue & Customs,,,
Manchester City Council,Corporate Services,Vehicle Hire Costs,14.11.2017,1905820007,"£2,508.59",City Car Club Ltd,,,
Manchester City Council,Corporate Services,Vehicle Hire Costs,14.11.2017,1700076005,"-£2,508.59",City Car Club Ltd,,,
Manchester City Council,Corporate Services,Transport Taxis,14.11.2017,1905821122,"£14,732.70",Street Cars,,,
Manchester City Council,Corporate Services,Transport Taxis,14.11.2017,1905821207,"£2,099.66",City Car Club Ltd,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,"£1,900.00",Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,"£1,692.00",Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,"£1,692.00",Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947899,£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
Manchester City Council,Corporate Services,Travel Season Ticket Loan Scheme,14.11.2017,5100947901,-£955.60,Northern,,,
