Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,,
Manchester City Council,Chief Executives,ICT Support & Maintenance,06.12.2018,5101008010,"£1,000.00",Elected Technologies,,,,,,
Manchester City Council,Chief Executives,ICT Support & Maintenance,06.12.2018,5101008011,£650.00,Elected Technologies,,,,,,
Manchester City Council,Chief Executives,Subsistence and Conference Expenses,06.12.2018,5101008351,£682.50,Knowledge Exchange Group Ltd,,,,,,
Manchester City Council,Chief Executives,Advertising,06.12.2018,5101008229,£540.00,MediaCo Outdoor Limited,,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,06.12.2018,5101008314,"£2,982.00",Addleshaw Goddard Solicitors,,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,06.12.2018,5101008275,£663.00,Addleshaw Goddard Solicitors,,,,,,
Manchester City Council,Chief Executives,Compensation Payments,06.12.2018,5101008308,"£1,410.00",Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Compensation Payments,06.12.2018,1906294106,"£1,452.20",MTL,,,,,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,06.12.2018,5101008188,"£8,063.68",Manchester Working Ltd,,,,,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,06.12.2018,5101008307,£730.00,Style North,,,,,,
Manchester City Council,Regeneration Finance,Electricity,06.12.2018,1906294904,"£5,500.77",EDF Energy,,,,,,
Manchester City Council,Regeneration Finance,Water Service Charges - Metered,06.12.2018,1906294905,£559.01,Water Plus Limited,,,,,,
Manchester City Council,Regeneration Finance,Storage Costs,06.12.2018,5101008316,£890.34,Data Space Limited,,,,,,
Manchester City Council,Regeneration Finance,Storage Costs,06.12.2018,5101008318,£543.44,Data Space Limited,,,,,,
Manchester City Council,Regeneration Finance,Payments to Sub-Contractors,06.12.2018,5101008213,£678.96,European Watercare Systems,,,,,,
Manchester City Council,Regeneration Finance,Printing,06.12.2018,5101008214,"£3,134.25",VIP-System Ltd,,,,,,
Manchester City Council,Regeneration Finance,Third party payments to other Local Authorities,06.12.2018,5101008301,"£11,812.50",Bolton College,,,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,06.12.2018,5101008078,"£1,763.26",William Smith Sons (Barnard Castle),,,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,06.12.2018,5101008253,£776.05,TARMAC,,,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,06.12.2018,5101008239,£751.15,TARMAC,,,,,,
Manchester City Council,Highways Services,Professional fees,06.12.2018,5101007562,"£1,150.00",Waterman Aspen Ltd,,,,,,
Manchester City Council,Highways Services,Payments to Contractors,06.12.2018,5101008271,"£206,594.92",NSL Ltd,,,,,,
Manchester City Council,Highways Services,Payments to Contractors,06.12.2018,5101008294,"£2,155.00",NSL Ltd,,,,,,
Manchester City Council,Highways Services,Contribution to PATROL,06.12.2018,5101008183,"£7,463.65",PATROL,,,,,,
Manchester City Council,Highways Services,Legal Fees,06.12.2018,5101008311,£600.00,Redacted Personal Information,,,,,,
Manchester City Council,Insurance Fund,Engineering Insurance Premium,06.12.2018,5101008173,"£93,846.62",Zurich Insurance,,,,,,
Manchester City Council,Insurance Fund,Engineering Insurance Premium,06.12.2018,5101008304,"£4,618.15",Zurich Insurance,,,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,07.12.2018,5101008088,£815.40,Landscape Supply Company,,,,,,
Manchester City Council,Manchester Leisure,Building Materials for direct delivery,07.12.2018,5101008065,£690.48,Cromwell polythene limited,,,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,07.12.2018,5101008401,£538.08,A P Broome Landscapes Ltd,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,07.12.2018,1906280963,"£1,000.00",Redacted Personal Information,,,,,,
Manchester City Council,Manchester Leisure,Special Events,07.12.2018,5101008394,"£33,488.70",Scaff-Hire Services Ltd,,,,,,
Manchester City Council,Manchester Leisure,Special Events,07.12.2018,5101008005,"£30,148.28",Greater Manchester Police,,,,,,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,07.12.2018,5101008490,"£314,417.08",ISG Construction Limited,,,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,07.12.2018,5101008443,"£68,549.90",Winners Contract Hire Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,07.12.2018,5101008060,"£2,750.00",Gullivers Truck Hire Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,07.12.2018,5101008446,"£2,200.00",Gibsons Garden Machinery Limited,,,,,,
Manchester City Council,Environment and Operations,Construction Works,07.12.2018,5101008232,"£3,020.22",Amey Highways Lighting (Manchester),,,,,,
Manchester City Council,Adult Social Care,Training and Development,07.12.2018,5101008378,"£1,900.00",University Of Manchester,,,,,,
Manchester City Council,Adult Social Care,Training and Development,07.12.2018,5101008386,"£1,100.00",University Of Manchester,,,,,,
Manchester City Council,Adult Social Care,Training and Development,07.12.2018,5101008387,"£1,100.00",University Of Manchester,,,,,,
Manchester City Council,Adult Social Care,Training and Development,07.12.2018,5101008388,"£1,100.00",University Of Manchester,,,,,,
Manchester City Council,Adult Social Care,Gas,07.12.2018,5101008427,£956.87,Ashbury Meadow Primary School,,,,,,
Manchester City Council,Adult Social Care,Electricity,07.12.2018,5101008429,"£1,111.63",Ashbury Meadow Primary School,,,,,,
Manchester City Council,Adult Social Care,Rents,07.12.2018,5101008463,"£115,577.05",Mack Residential Letting Ltd,,,,,,
Manchester City Council,Adult Social Care,Rents,07.12.2018,5101008475,"£6,617.06",Eeven Homes Ltd.,,,,,,
Manchester City Council,Adult Social Care,Contract Cleaning External,07.12.2018,5101008392,£950.00,Fishers Cleaning Services Ltd,,,,,,
Manchester City Council,Adult Social Care,Hire of Premises,07.12.2018,5101008257,"£1,713.34",Chancellors Hotel & Conf Centre,,,,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,07.12.2018,5101008409,"£88,543.25",APTSL,,,,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,07.12.2018,5101008408,"£50,023.00",Communitytransportservices.co.uk,,,,,,
Manchester City Council,Adult Social Care,"Clothes, Uniform and Laundry",07.12.2018,5101008580,£562.50,Alliance Disposables Ltd,,,,,,
Manchester City Council,Adult Social Care,Catering,07.12.2018,5101008201,£520.00,Quaker Trading Ltd,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906293176,"£5,550.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906280957,"£2,880.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906275932,"£2,393.50",Stockport Psychology Services,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906285011,"£1,725.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906270187,"£1,668.27",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906272427,"£1,216.67",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906287981,"£1,068.56",Busy Nought to Five Nursery,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906281093,£810.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906293325,£789.09,Avr Transcription Ltd,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906278550,£750.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906294108,£700.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906269348,£650.00,18 St John Street Chambers,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906269912,£575.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906270302,£575.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Professional fees,07.12.2018,1906278469,£532.20,Alere Toxicology Plc,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,07.12.2018,5101008248,"£8,825.00",Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Payments for services,07.12.2018,5101008445,"£2,051.90",Gorse Hill Studios,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,07.12.2018,5101008497,£500.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,07.12.2018,5101008502,£500.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Legal Fees,07.12.2018,5101008504,£500.00,Redacted Personal Information,,,,,,
Manchester City Council,Adult Social Care,Compensation Payments,07.12.2018,1906280834,"£12,535.80",Simpson Millar LLP,,,,,,
Manchester City Council,Corporate Services,Discounted Car Parking,07.12.2018,1906294120,"£1,032.65",National Car Parks Ltd Season Ticke,,,,,,
Manchester City Council,Corporate Services,Discounted Car Parking,07.12.2018,1700085315,"-£1,396.96",National Car Parks Ltd Season Ticke,,,,,,
Manchester City Council,Corporate Services,Professional fees,07.12.2018,5101008250,"£1,800.00",WYG Environment Planning,,,,,,
Manchester City Council,Corporate Services,Licences Purchase,07.12.2018,5101007967,"£2,231.00",Insight Direct (Uk) Ltd,,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,07.12.2018,5101008215,"£1,000.00",Raydar Safety Limited,,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,07.12.2018,5101008410,"£6,731.50",Addleshaw Goddard Solicitors,,,,,,
Manchester City Council,Chief Executives,Agency staff provision,07.12.2018,5101008590,"£24,349.58",Hays Personnel,,,,,,
Manchester City Council,Chief Executives,Rents,07.12.2018,5101007930,"£1,289.14",Regus Management (UK) Ltd,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,07.12.2018,5101008481,£961.35,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,07.12.2018,5101008299,£529.86,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Catering,07.12.2018,5101008370,"£1,640.50",Manchester City Galleries Dev Co,,,,,,
Manchester City Council,Chief Executives,Printing,07.12.2018,5101008375,£590.00,Browns CTP Ltd,,,,,,
Manchester City Council,Chief Executives,Professional fees,07.12.2018,5101008135,"£2,767.20",Children North East Trading Ltd,,,,,,
Manchester City Council,Chief Executives,Consultants Fees,07.12.2018,5101008483,£800.00,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Landline Telephone Charges,07.12.2018,1906276538,£559.87,Daisy Communications Ltd,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008495,"£25,000.00",Manchester Carers Forum,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008493,"£18,735.75",4CT Limited,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008511,"£11,175.00",Benchill Community Centre,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008508,"£10,833.25",Alzheimers Society (Mcr Branch),,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008496,"£10,000.00",Age Concern Manchester,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008512,"£9,225.00",Assist,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008488,"£9,000.00",The Proud Trust,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008513,"£8,892.50",Whalley Range Forum,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008505,"£7,750.00",Talbot House Support Centre,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008492,"£7,000.00",Higher Blackley Comm.Assoc.,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008491,"£6,615.00",Moodswings Network,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008501,"£6,075.00",Levenshulme Inspire,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008499,"£5,850.00",Didsbury Good Neighbours Ltd,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008500,"£5,000.00",Turkey Lane & Monsall Neighbourhood,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008498,"£5,000.00",Whitemoss Club For Young People,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008480,"£5,000.00",Fallowfield Library & Comm Centre,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008503,"£5,000.00",Together Dementia Support,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008506,"£4,950.00",Freedom from Torture,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008477,"£4,500.00",GAYDIO Community Interest Company,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,07.12.2018,5101008478,"£2,968.75",NEPHRA residents Association,,,,,,
Manchester City Council,Regeneration Finance,Hire of Equipment,07.12.2018,5101008366,£577.74,Siemens Financial Services Ltd,,,,,,
Manchester City Council,Regeneration Finance,Third party payments to other Local Authorities,07.12.2018,5101007975,"£17,302.00",Bolton College,,,,,,
Manchester City Council,Regeneration Finance,Third party payments to other Local Authorities,07.12.2018,5101008057,"£12,976.50",Bolton College,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,07.12.2018,5101007932,£920.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,07.12.2018,5101007891,£760.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,07.12.2018,5101007971,£760.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,07.12.2018,5101007648,£720.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Training - Day Release Fees,07.12.2018,5101007649,£600.00,Red Rose Training (Bolton) Ltd,,,,,,
Manchester City Council,Highways Services,Security,07.12.2018,5101008589,£632.00,Central Locksmiths,,,,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,07.12.2018,5101008309,"£1,250.00",Transport for Greater Manchester,,,,,,
Manchester City Council,Highways Services,Compensation Payments,07.12.2018,1906294555,"£3,750.00",Platt Halpern,,,,,,
Manchester City Council,Manchester Leisure,Works Health and Safety related,10.12.2018,5101008597,"£3,000.00",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,10.12.2018,5101008591,"£1,920.00",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,10.12.2018,5101008593,"£1,920.00",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Equipment,10.12.2018,5101008436,£523.95,Back Care Solutions Ltd,,,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,10.12.2018,5101008339,"£1,800.00",Arboricultural Services Treework,,,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,10.12.2018,5101008595,"£1,500.00",Redgate Holdings Ltd,,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.12.2018,1906280823,£575.00,Workbee Solutions,,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,10.12.2018,5101008564,"£1,650.00",Barlow Moor Community Association,,,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,10.12.2018,5101007635,"£1,069.27",Victoria Square Tenants Assoc.,,,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,10.12.2018,1906290111,"£1,743.60",Riley Dunn & Wilson Ltd,,,,,,
Manchester City Council,Manchester Leisure,Library Materials Acquisition,10.12.2018,1906290081,£709.17,Askews and Holts,,,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,10.12.2018,5101008134,"£1,633.18",Enterprise Flex-E-Rent,,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,10.12.2018,5101008614,"£1,012.50",R & M Developments Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298103,"£1,147.65",Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298052,"£1,112.17",Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298035,"£1,016.44",Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298041,"£1,004.32",Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298055,£878.12,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298150,£690.35,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298039,£629.84,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298034,£589.43,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298114,£587.36,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298104,£573.85,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298075,£561.83,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298050,£529.35,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298146,£511.75,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.12.2018,1906298072,£504.54,Brake Bros Foodservice Ltd,,,,,,
Manchester City Council,Environment and Operations,Construction Works,10.12.2018,5101008270,"£1,400.00",AECOM Limited,,,,,,
Manchester City Council,Adult Social Care,Training and Development,10.12.2018,5101008608,"£2,970.00",Family Links,,,,,,
Manchester City Council,Adult Social Care,Rents,10.12.2018,5101008109,"£32,943.67",United Property Management Ltd,,,,,,
Manchester City Council,Adult Social Care,Rents,10.12.2018,1906290143,"£1,040.00",Manchester Letting,,,,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,10.12.2018,5101008594,"£6,138.00",Sumi Travel Ltd.,,,,,,
Manchester City Council,Adult Social Care,Professional fees,10.12.2018,1906290023,"£2,025.00",18 St John Street Chambers,,,,,,
Manchester City Council,Adult Social Care,Professional fees,10.12.2018,1906290026,"£1,000.00",18 St John Street Chambers,,,,,,
Manchester City Council,Adult Social Care,Professional fees,10.12.2018,1906290022,£770.00,18 St John Street Chambers,,,,,,
Manchester City Council,Adult Social Care,Professional fees,10.12.2018,5101008600,£700.00,Action First iPeople Ltd,,,,,,
Manchester City Council,Adult Social Care,Professional fees,10.12.2018,5101008604,£700.00,Action First iPeople Ltd,,,,,,
Manchester City Council,Adult Social Care,Professional fees,10.12.2018,1906290024,£650.00,18 St John Street Chambers,,,,,,
Manchester City Council,Adult Social Care,Professional fees,10.12.2018,5101008602,£500.00,Action First iPeople Ltd,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,10.12.2018,5101008544,"£7,628.06",K L Properties,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,10.12.2018,5101008494,"-£7,628.06",K L Properties,,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,10.12.2018,5101008543,"-£7,628.06",K L Properties,,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,10.12.2018,5101008528,£742.50,Tiddlywinks Day Nursery,,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,10.12.2018,5101008526,£577.50,Tiddlywinks Day Nursery,,,,,,
Manchester City Council,Adult Social Care,Payments for services,10.12.2018,5101008444,"£9,066.66",Salford College,,,,,,
Manchester City Council,Corporate Services,Rents,10.12.2018,1906295818,"£15,215.45",Regus Management (UK) Ltd,,,,,,
Manchester City Council,Corporate Services,Professional fees,10.12.2018,5101008249,"£1,470.00",WYG Environment Planning,,,,,,
Manchester City Council,Housing General Fund,Building Works,10.12.2018,1906294613,"£2,516.00",Stannah Lift Services Ltd,,,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.12.2018,5101008525,"£3,872.33",Deekay Technical Recruitment Ltd,,,,,,
Manchester City Council,Chief Executives,Payments to Sub-Contractors,10.12.2018,5101008471,£916.28,Redacted Personal Information,,,,,,
Manchester City Council,Chief Executives,Printing,10.12.2018,5101008710,"£1,328.00",Astra Signs,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008558,"£53,493.16",Manchester Mind,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008551,"£51,308.41",Wai Yin Society,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008532,"£20,111.50",Manchester Carers Centre,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008556,"£17,941.66",Manchester Bangladeshi Womens Organ,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008550,"£14,512.66",Barlow Moor Community Association,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008516,"£13,424.50",The Lesbian & Gay Foundation,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008574,"£12,825.00",Caritas Diocese of Salford,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008530,"£12,500.00",Chorlton Good Neighbours,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008555,"£11,068.91",Burnage Good Neighbours,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008535,"£10,000.00",Manchester Deaf Centre Ltd,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008562,"£9,984.91",Manchester Refugee Support Network,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008557,"£9,963.33",Greater Manchester Coalition Of Dis,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008522,"£9,905.00",Women in Prison Limited,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008560,"£9,583.33",Manchester Settlement,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008534,"£9,463.00",Northmoor Community Association,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008569,"£8,965.00",Saheli,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008533,"£8,925.00",Manchester Digital Laboratory,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008531,"£7,636.25",Manchester Action On Street Health,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008552,"£7,627.58",Tree Of Life Centre Wythenshawe,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008529,"£7,569.50",St Lukes Art Project,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008568,"£7,493.00",Afro Carribean Care Group,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008563,"£7,000.00",The Generation Project,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008567,"£6,975.00",People First Housing Association,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008559,"£6,684.41",Venture Arts Ltd,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008561,"£6,539.66",George House Trust,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008570,"£6,240.00",Hulme Community Garden Centre,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008549,"£5,000.00",Rainbow Haven,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008521,"£5,000.00",Justlife Foundation Limited,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008519,"£5,000.00",Healthy Me Healthy Communities,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008553,"£4,995.08",Emerge 3RS,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008517,"£4,750.00",Albert Kennedy Trust,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008565,"£4,598.25",Cheetham Hill Advice Centre.,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008554,"£4,483.33",Friends of Burnage Library Ltd,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008566,"£3,826.00",The Manchester Men's Room,,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.12.2018,5101008527,"£2,700.00",All Arts & Media Ltd,,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,10.12.2018,1906289420,"£12,977.00",HOME,,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,10.12.2018,1906295778,"£12,977.00",HOME,,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,10.12.2018,5101008524,£573.00,Addleshaw Goddard Solicitors,,,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,10.12.2018,5101008315,"£70,497.80",Liquidlogic Ltd,,,,,,
Manchester City Council,Chief Executives,Compensation Payments,10.12.2018,1906290027,£770.00,18 St John Street Chambers,,,,,,
Manchester City Council,Chief Executives,Compensation Payments,10.12.2018,1906290021,£890.00,18 St John Street Chambers,,,,,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,10.12.2018,5101008072,"£1,330.00",Cheshire Scaffolds Ltd,,,,,,
Manchester City Council,Regeneration Finance,Rents,10.12.2018,1906295895,"£81,406.40",Regus Management (UK) Ltd,,,,,,
Manchester City Council,Regeneration Finance,Rents,10.12.2018,5101008545,"£5,253.87",Wythenshawe Forum Trust Ltd,,,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,10.12.2018,5101008320,"£1,400.00",Arboricultural Services Treework,,,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,10.12.2018,5101008341,£800.00,Arboricultural Services Treework,,,,,,
Manchester City Council,Regeneration Finance,Removal and Storage of Furniture,10.12.2018,5101008363,"£2,859.86",BCL,,,,,,
