Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,09.11.2021,5105785267,£913.00,E Jordon (Refrigeration) Ltd,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance,09.11.2021,5105785358,£560.00,Arboricultural Services Treework,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,09.11.2021,5105785239,£887.49,TARMAC,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,09.11.2021,5105785274,£865.00,TARMAC,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,09.11.2021,5105785273,£723.14,TARMAC,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,09.11.2021,5105785271,£596.85,TARMAC,,,,
Manchester City Council,Highways Services,Professional fees,09.11.2021,5105785250,"£356,358.59",Transport for Greater Manchester,,,,
Manchester City Council,Highways Services,Professional fees,09.11.2021,5105785261,"£14,948.82",Gaist Solutions Ltd,,,,
Manchester City Council,Highways Services,Tipping - Tonnage,09.11.2021,5105785357,"£1,298.29",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Highways Services,Purchase of stores for re-distribution,09.11.2021,5105785353,£795.20,CID 'Consider it Done',,,,
Manchester City Council,Highways Services,Legal Fees,09.11.2021,1907393246,£600.00,Redacted Personal Information,,,,
Manchester City Council,Collection Fund,CTax-Overpayments,09.11.2021,1907447993,"£1,270.95",Redacted Personal Information,,,,
Manchester City Council,Manchester Leisure,Payments to Sub-Contractors,10.11.2021,5105785389,£742.00,Osborne Richardson,,,,
Manchester City Council,Manchester Leisure,Hire of Equipment,10.11.2021,5105785328,"£1,016.00",Gap Group Ltd,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.11.2021,5105785499,"£1,049.15",Redacted Personal Information,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.11.2021,5105785581,£952.00,Savills (UK) Ltd,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,10.11.2021,5105784090,"£2,000.00",Gorton Events Committee,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,10.11.2021,5105785440,"£1,348.32",Notable Designs Ltd,,,,
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,10.11.2021,5105785479,"£57,541.45",Robertson Construction Group,,,,
Manchester City Council,Libraries and Theatres,Works and associated costs for Land and Buildings,10.11.2021,5105784680,"£43,568.19",J Greenwood (Builders) Limited,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,10.11.2021,5105785339,"£1,800.00",Peter Douglass Platforms,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,10.11.2021,5105785340,"£1,300.00",Peter Douglass Platforms,,,,
Manchester City Council,Hospitality + Trading Services,Legal Fees,10.11.2021,1907447615,"£1,250.00",Redacted Personal Information,,,,
Manchester City Council,Environment and Operations,Construction Works,10.11.2021,5105785354,"£14,100.00",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Environment and Operations,Construction Works,10.11.2021,5105785255,"£12,624.78",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Environment and Operations,Construction Works,10.11.2021,5105785264,"£10,671.01",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Environment and Operations,Construction Works,10.11.2021,5105785137,"£9,000.00",Transport for Greater Manchester,,,,
Manchester City Council,Environment and Operations,Construction Works,10.11.2021,5105785265,"£8,609.13",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Environment and Operations,Construction Works,10.11.2021,5105785347,"£5,034.77",J.Hopkins (Contractors) Ltd.,,,,
Manchester City Council,Childrens & Education Services,Third party payments to other Local Authorities,10.11.2021,5105785495,"£2,295.00",Blessed Thomas Holford School,,,,
Manchester City Council,Childrens & Education Services,Third party payments relating to Voluntary Organisations,10.11.2021,5105785573,"£1,428.00",Healthy Body Healthy Mind CIC,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785532,"£37,050.00",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785538,"£37,050.00",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785539,"£37,050.00",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785540,"£37,050.00",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785541,"£37,050.00",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785542,"£37,050.00",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785543,"£37,050.00",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785536,"£12,621.65",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785533,"£12,621.25",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785534,"£12,214.50",Social Care Services (Clayton) Ltd,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785441,"£6,263.59",Reed Employment Plc,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785425,"£3,406.87",The Together Trust,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785442,£805.69,Reed Employment Plc,,,,
Manchester City Council,Childrens & Education Services,Payments for services,10.11.2021,5105785504,£750.00,Teaching Personnel Ltd,,,,
Manchester City Council,Childrens & Education Services,Childrens Allowances,10.11.2021,5105785500,£780.28,Mosscare St Vincent's Housing,,,,
Manchester City Council,Childrens & Education Services,Childrens Allowances,10.11.2021,5105785506,£780.28,Mosscare St Vincent's Housing,,,,
Manchester City Council,Adult Social Care,Rents,10.11.2021,5105785411,"£116,884.97",District Homes Cic,,,,
Manchester City Council,Adult Social Care,Rents,10.11.2021,5105785427,"£4,986.34",Houses4Homes 4U Ltd,,,,
Manchester City Council,Adult Social Care,Security,10.11.2021,5105785219,"£1,887.00",UNIQUE SPECIALIST SERVICES,,,,
Manchester City Council,Adult Social Care,Building Materials for direct delivery,10.11.2021,5105784566,£527.44,Screwfix Direct T/A Trade UK,,,,
Manchester City Council,Adult Social Care,Grant and subscriptions awarded,10.11.2021,5105785563,"£3,328.00",The Pankhurst Centre,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,10.11.2021,5105785579,"£35,091.00",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Bed & Breakfast Acc,10.11.2021,5105784856,"£15,110.00",Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Personal needs of client,10.11.2021,5105785508,"£1,472.00",Care & Independence Ltd,,,,
Manchester City Council,Adult Social Care,Personal needs of client,10.11.2021,5105785561,£575.40,R82 Uk Ltd,,,,
Manchester City Council,Childrens Services,Works and associated costs for Land and Buildings,10.11.2021,5105785551,"£58,160.92",F Parkinson Limited,,,,
Manchester City Council,Corporate Services,Training and Development,10.11.2021,5105781862,"£1,317.00",BPP Professional Education,,,,
Manchester City Council,Corporate Services,Travel Season TLS,10.11.2021,5105785330,"£1,038.60",Transport for Greater Manchester,,,,
Manchester City Council,Corporate Services,Mobilephone Charges,10.11.2021,5105785422,£731.53,EE/T-Mobile,,,,
Manchester City Council,Corporate Services,WPS Awards,10.11.2021,5105785521,"£1,124.13",Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,WPS Awards,10.11.2021,5105785455,£943.92,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,WPS Awards,10.11.2021,5105785520,£648.81,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,WPS Awards,10.11.2021,5105785571,£592.86,Furniture Resource Centre Ltd,,,,
Manchester City Council,Corporate Services,LRSG Grant pay,10.11.2021,1907451193,"£16,571.57",Halle concerts society,,,,
Manchester City Council,Corporate Services,Construction Works,10.11.2021,5105785351,"£25,712.03",Pomery Natural Stone Ltd,,,,
Manchester City Council,Corporate Services,Construction Works,10.11.2021,5105785350,"£25,531.65",Pomery Natural Stone Ltd,,,,
Manchester City Council,Housing Revenue Account,External repairs and maintenance for buildings,10.11.2021,5105785545,"£52,298.72",R & M Developments Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785447,"£39,672.97",Liquid Personnel Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785446,"£37,194.95",Liquid Personnel Ltd,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785674,"£9,750.00",Ricoh UK Ltd.,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785673,"£5,280.00",Ricoh UK Ltd.,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785514,"£1,562.00",The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785516,"£1,500.00",The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785515,"£1,445.96",The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785517,"£1,313.50",The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785512,£924.00,The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785510,£836.00,The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785501,£792.00,The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.11.2021,5105785513,£638.00,The Oyster Partnership Limited,,,,
Manchester City Council,Chief Executives,General Office expenses,10.11.2021,5105785552,"£5,300.00",Jadu Ltd,,,,
Manchester City Council,Chief Executives,Professional fees,10.11.2021,5105785531,"£1,377.59",Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Professional fees,10.11.2021,5105785531,£952.41,Weightmans LLP Solicitors,,,,
Manchester City Council,Chief Executives,Postage,10.11.2021,5105785488,"£1,381.26",Whistl North Ltd,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,10.11.2021,5105785449,"£165,000.00",Ryder Architecture Ltd,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,10.11.2021,5105785450,"£145,000.00",Ryder Architecture Ltd,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,10.11.2021,5105785461,"£2,500.00",Ryder Architecture Ltd,,,,
Manchester City Council,Chief Executives,Vehicle Plant Furniture and Equipment,10.11.2021,5105785244,"£18,432.00",Insight Direct (Uk) Ltd,,,,
Manchester City Council,Chief Executives,Compensation Payments,10.11.2021,1907447603,£600.00,Redacted Personal Information,,,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,10.11.2021,5105784304,£924.00,Cheshire Scaffolds Ltd,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,10.11.2021,5105785667,"£1,016.10",Alliance Disposables Ltd,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,10.11.2021,5105785668,"£1,016.10",Alliance Disposables Ltd,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,10.11.2021,5105785669,"£1,016.10",Alliance Disposables Ltd,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance,10.11.2021,5105785460,"£1,050.00",Countrywide Grounds Maintenance Ltd,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance,10.11.2021,5105785472,£720.00,Countrywide Grounds Maintenance Ltd,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance,10.11.2021,5105785471,£595.00,Countrywide Grounds Maintenance Ltd,,,,
Manchester City Council,Regeneration Finance,Furniture,10.11.2021,5105785214,"£1,317.71",Data Space Limited,,,,
Manchester City Council,Regeneration Finance,"Consumable items eg Toilet rolls, soap etc",10.11.2021,5105785183,£848.40,Wilkinson Bros,,,,
Manchester City Council,Regeneration Finance,"Consumable items eg Toilet rolls, soap etc",10.11.2021,5105785511,£720.00,Wilkinson Bros,,,,
Manchester City Council,Regeneration Finance,"Consumable items eg Toilet rolls, soap etc",10.11.2021,5105785182,-£848.40,Wilkinson Bros,,,,
Manchester City Council,Regeneration Finance,Training and Development,10.11.2021,5105785405,£687.40,Trinity College London,,,,
Manchester City Council,Regeneration Finance,Removal and Storage of Furniture,10.11.2021,5105785537,£534.89,Restore PLC,,,,
Manchester City Council,Regeneration Finance,Removal and Storage of Furniture,10.11.2021,5105785487,-£534.40,BCL,,,,
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,10.11.2021,5105785556,"£33,400.00",Back On Track,,,,
Manchester City Council,Highways Services,Building Materials for direct delivery,10.11.2021,5105785436,£605.00,Kloeckner Metals UK,,,,
Manchester City Council,Highways Services,ClothsUniformLaundry,10.11.2021,5105785432,"£2,098.50",Manchester Safety Services Ltd,,,,
Manchester City Council,Manchester Leisure,Responsive Repairs Work,11.11.2021,5105784721,"£443,608.58",Engie Regeneration Ltd,,,,
Manchester City Council,Manchester Leisure,Responsive Repairs Work,11.11.2021,5105784722,"£90,004.33",Engie Regeneration Ltd,,,,
Manchester City Council,Manchester Leisure,Responsive Repairs Work,11.11.2021,5105784720,"£63,453.89",Engie Regeneration Ltd,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452406,"£50,567.56",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452484,"£44,530.12",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452402,"£20,588.87",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452408,"£15,990.46",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452489,"£12,361.44",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452409,"£10,815.42",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452417,"£10,783.97",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452404,"£10,394.39",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452468,"£9,479.85",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452407,"£8,917.53",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452438,"£8,483.59",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452437,"£5,311.01",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452410,"£4,607.01",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452485,"£4,097.29",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1907452403,"£3,406.84",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1700126708,"-£5,163.64",Npower,,,,
Manchester City Council,Manchester Leisure,Electricity,11.11.2021,1700126705,"-£8,973.01",Npower,,,,
Manchester City Council,Manchester Leisure,Refuse Collection,11.11.2021,5105785641,"£8,480.00",Egbert Taylor Group,,,,
Manchester City Council,Manchester Leisure,Equipment,11.11.2021,5105785611,"£12,132.00",MGB Plastics Limited,,,,
Manchester City Council,Manchester Leisure,Equipment,11.11.2021,1907451962,"£1,400.00",CONSERVATIVE PARTY,,,,
Manchester City Council,Manchester Leisure,Equipment,11.11.2021,1907452758,-£509.00,AIRBNB * HMTY9W8TB4,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452167,£786.60,MSFT * E0400G0XW9,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907451844,£719.13,LONGWORTH LTD,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452022,£660.00,ROYAL MAIL ONLINE SHOP,,,,
Manchester City Council,Manchester Leisure,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452670,£660.00,ROYAL MAIL ONLINE SHOP,,,,
Manchester City Council,Manchester Leisure,Stationery,11.11.2021,1907452075,£770.00,FILMBANK PVSL ACC,,,,
Manchester City Council,Manchester Leisure,Professional fees,11.11.2021,1907453130,"£720,000.00",MediaCo Outdoor Limited,,,,
Manchester City Council,Manchester Leisure,Professional fees,11.11.2021,5105785681,"£67,560.00",Wythenshawe Forum Trust Ltd,,,,
Manchester City Council,Manchester Leisure,Professional fees,11.11.2021,5105785650,"£11,150.00",Wythenshawe Forum Trust Ltd,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,11.11.2021,5105785610,"£2,000.00",Abraham Moss Community FC,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,11.11.2021,5105785729,"£1,428.00",Newton Heath Eco Youth,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,11.11.2021,5105785726,£500.00,Thrive Manachester,,,,
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,11.11.2021,5105785738,"-£1,428.00",Newton Heath Eco Youth,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,11.11.2021,5105785671,"£1,944.20",Marston Book Services Ltd,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,11.11.2021,5105785712,"£1,740.00",Cornflower Ltd,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,11.11.2021,5105785660,"£1,407.00",Redacted Personal Information,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,11.11.2021,5105785640,£645.00,Corners Direct Ltd,,,,
Manchester City Council,Manchester Leisure,Goods purchased for resale in Council outlets,11.11.2021,5105785659,£560.00,Redacted Personal Information,,,,
Manchester City Council,Hospitality + Trading Services,Electricity,11.11.2021,1907452491,"£58,781.12",Npower,,,,
Manchester City Council,Hospitality + Trading Services,Electricity,11.11.2021,1907452490,"£31,458.13",Npower,,,,
Manchester City Council,Hospitality + Trading Services,Electricity,11.11.2021,1907452419,"£25,033.67",Npower,,,,
Manchester City Council,Hospitality + Trading Services,Electricity,11.11.2021,1907452444,"£10,065.02",Npower,,,,
Manchester City Council,Hospitality + Trading Services,Electricity,11.11.2021,1907452482,"£3,219.60",Npower,,,,
Manchester City Council,Hospitality + Trading Services,Electricity,11.11.2021,1907452524,"£2,827.81",Npower,,,,
Manchester City Council,Hospitality + Trading Services,Electricity,11.11.2021,1907452439,£805.15,Npower,,,,
Manchester City Council,Hospitality + Trading Services,Window Cleaning,11.11.2021,5105785746,£534.03,CG Cleaning Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,11.11.2021,5105785621,"£2,720.82",Dawsongroup Sweepers,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Repairs,11.11.2021,5105785694,"£1,042.43",Fleet Dynamic Consultancy Ltd,,,,
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907451893,"£1,362.00",VANLINERS.CO.UK,,,,
Manchester City Council,Hospitality + Trading Services,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452365,"£1,362.00",VANLINERS.CO.UK,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,11.11.2021,5105785776,"£2,601.05",H & C Plant Hire Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,11.11.2021,5105785601,"£1,038.50",R & M Developments Ltd,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,11.11.2021,5105785602,£830.80,R & M Developments Ltd,,,,
Manchester City Council,Environment and Operations,Construction Works,11.11.2021,5105785704,"£2,850.00",Wilde Consultants Ltd,,,,
Manchester City Council,Childrens & Education Services,Training and Development,11.11.2021,5105785599,£550.00,The Proud Trust,,,,
Manchester City Council,Childrens & Education Services,Gas,11.11.2021,1907452397,£778.29,Gazprom Energy,,,,
Manchester City Council,Childrens & Education Services,Electricity,11.11.2021,1907452507,"£1,631.53",Npower,,,,
Manchester City Council,Childrens & Education Services,Electricity,11.11.2021,1907452427,"£1,415.02",Npower,,,,
Manchester City Council,Childrens & Education Services,Electricity,11.11.2021,1907452522,"£1,128.21",Npower,,,,
Manchester City Council,Childrens & Education Services,Electricity,11.11.2021,1907452425,£724.01,Npower,,,,
Manchester City Council,Childrens & Education Services,Electricity,11.11.2021,1700126706,-£683.12,Npower,,,,
Manchester City Council,Childrens & Education Services,Fixtures and Fitting,11.11.2021,1907452668,£876.95,Argos Business Solutions,,,,
Manchester City Council,Childrens & Education Services,Fixtures and Fitting,11.11.2021,1907452698,£699.98,Argos Business Solutions,,,,
Manchester City Council,Childrens & Education Services,Fixtures and Fitting,11.11.2021,1907452227,£609.97,Argos Business Solutions,,,,
Manchester City Council,Childrens & Education Services,Fixtures and Fitting,11.11.2021,1907452727,£525.00,DAVE CARPET WAREHOUSE,,,,
Manchester City Council,Childrens & Education Services,Transport Coach Hire,11.11.2021,5105785645,"£83,970.60",Westfield Minibuses,,,,
Manchester City Council,Childrens & Education Services,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452347,£600.00,HIRA CARPETS,,,,
Manchester City Council,Childrens & Education Services,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907451947,£565.00,WHITEGOODS,,,,
Manchester City Council,Childrens & Education Services,General Office expenses,11.11.2021,1907452757,£592.40,EE / Orange,,,,
Manchester City Council,Childrens & Education Services,Professional fees,11.11.2021,5105785597,£950.00,Term2term Ltd,,,,
Manchester City Council,Childrens & Education Services,Professional fees,11.11.2021,1907450076,£550.00,Central Chambers,,,,
Manchester City Council,Childrens & Education Services,Payments for services,11.11.2021,5105785625,"£18,430.75",The Together Trust,,,,
Manchester City Council,Childrens & Education Services,Payments for services,11.11.2021,5105785689,"£1,639.26",4CT Limited,,,,
Manchester City Council,Childrens & Education Services,Payments for services,11.11.2021,1907450075,"£1,349.00",Redacted Personal Information,,,,
Manchester City Council,Childrens & Education Services,Payments for services,11.11.2021,5105785626,"-£10,019.56",The Together Trust,,,,
Manchester City Council,Childrens & Education Services,Foster Payments,11.11.2021,1907453128,£912.20,Redacted Personal Information,,,,
Manchester City Council,Adult Social Care,Training and Development,11.11.2021,5105785748,£540.00,Luther King House Educational Trust,,,,
Manchester City Council,Adult Social Care,Electricity,11.11.2021,1907452521,"£1,800.07",Npower,,,,
Manchester City Council,Adult Social Care,Electricity,11.11.2021,1907452477,"£1,752.97",Npower,,,,
Manchester City Council,Adult Social Care,Electricity,11.11.2021,1907452503,"£1,505.56",Npower,,,,
Manchester City Council,Adult Social Care,Rents,11.11.2021,5105785588,"£33,832.61",United Property Management Ltd,,,,
Manchester City Council,Adult Social Care,Rents,11.11.2021,5105785724,"£12,187.11",K L Properties,,,,
Manchester City Council,Adult Social Care,Rents,11.11.2021,5105785692,"£8,347.37",AJD Property Limited,,,,
Manchester City Council,Adult Social Care,Contract Cleaning External,11.11.2021,5105785719,£625.00,Fishers Cleaning Services Ltd,,,,
Manchester City Council,Adult Social Care,Furniture,11.11.2021,1907451852,£995.98,Nisbets,,,,
Manchester City Council,Adult Social Care,Furniture,11.11.2021,1907452053,£899.98,Nisbets,,,,
Manchester City Council,Adult Social Care,Furniture,11.11.2021,5105785454,£730.89,Furniture Resource Centre Ltd,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452122,"£4,153.84",CROWN HOMES,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452539,"£4,101.00",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452115,"£4,000.00",CROWN HOMES,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452132,"£3,478.00",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452059,"£3,241.15",CARRINGTON RIDING,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452723,"£3,164.00",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452299,"£3,000.00",H PROPERTY MANAGMENT,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452323,"£3,000.00",H PROPERTY MANAGMENT,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452772,"£3,000.00",H PROPERTY MANAGMENT,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452773,"£3,000.00",H PROPERTY MANAGMENT,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452783,"£3,000.00",H PROPERTY MANAGMENT,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452786,"£3,000.00",H PROPERTY MANAGMENT,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452170,"£3,000.00",JOTS CONSULTANCY LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452614,"£3,000.00",JOTS CONSULTANCY LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452954,"£3,000.00",JOTS CONSULTANCY LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452714,"£3,000.00",S AND S SALES MCR LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452726,"£3,000.00",S AND S SALES MCR LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452363,"£2,918.00",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452653,"£2,731.00",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452123,"£2,712.00",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452411,"£2,620.00",CLAYTON MANCHESTER ONLINE,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452975,"£2,610.00",HOLIDAY INN P CARD ONLY,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452158,"£2,557.00",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452754,"£2,530.80",HOTEL AT BOOKING.COM,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452180,"£2,400.00",JOTS CONSULTANCY LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452182,"£2,400.00",JOTS CONSULTANCY LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452609,"£2,400.00",JOTS CONSULTANCY LTD,,,,
Manchester City Council,Adult Social Care,"Consumable items eg Toilet rolls, soap etc",11.11.2021,1907452627,"£2,400.00",JOTS CONSULTANCY LTD,,,,
