Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name,,,,,
Manchester City Council,Manchester Leisure,Professional fees,08.10.2018,1906217630,"£22,500.00",Televideo Ltd,,,,,
Manchester City Council,Adult Social Care,Rents,08.10.2018,1700083895,"-£1,040.00",Casement Ventures (Belvoir),,,,,
Manchester City Council,Adult Social Care,Transport Taxis,08.10.2018,1906221950,"£1,200.00",Cambian Group PLC,,,,,
Manchester City Council,Adult Social Care,Professional fees,08.10.2018,1906222319,"£1,300.00",Bangkok Lawyer Company Ltd,,,,,
Manchester City Council,Adult Social Care,Compensation Payments,08.10.2018,1906217629,"£1,200.00",Unionline Solicitors,,,,,
Manchester City Council,Adult Social Care,Legal Fees,08.10.2018,1906210951,"£1,076.00",Psychiatric Services-North East Ltd,,,,,
Manchester City Council,Adult Social Care,Compensation Payments,08.10.2018,1906221966,"£4,124.00",Trade Union Legal,,,,,
Manchester City Council,Chief Executives,Compensation Payments,08.10.2018,1906221964,"£1,325.00",Redacted Personal Information,,,,,
Manchester City Council,Regeneration Finance,Non Housing Rent Receipts,08.10.2018,1906212720,£625.00,Spirit Pub Company Ltd,,,,,
Manchester City Council,Highways Services,Compensation Payments,08.10.2018,1906222144,"£2,000.00",Nexus Solicitors,,,,,
Manchester City Council,Highways Services,Compensation Payments,08.10.2018,1906220874,"£2,169.00",Nexus Solicitors,,,,,
Manchester City Council,Chief Executives,Publications,09.10.2018,5100999061,"£1,265.00",John Smith & Son (Glasgow) Ltd T/A,,,,,
Manchester City Council,Chief Executives,Publications,09.10.2018,5100999048,£837.00,John Smith & Son (Glasgow) Ltd T/A,,,,,
Manchester City Council,Chief Executives,Publications,09.10.2018,5100999041,£803.00,John Smith & Son (Glasgow) Ltd T/A,,,,,
Manchester City Council,Housing Revenue Account,Private Finance and Public Private partnership initiatives,09.10.2018,5100999237,"£33,189.11",Manchester Energy Company Limited,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,09.10.2018,5100998977,"£43,756.47",F.R.Sharrock Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,09.10.2018,5100998974,"£4,800.00",F.R.Sharrock Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999051,"£164,156.04",Ove Arup & Partners Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999053,"£12,166.88",Ove Arup & Partners Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100998991,"£7,425.00",Ove Arup & Partners Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999046,"£6,863.00",Ove Arup & Partners Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999052,"£4,893.00",Ove Arup & Partners Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999044,"£2,970.00",Ove Arup & Partners Ltd,,,,,
Manchester City Council,Highways Services,Grant and subscriptions awarded,09.10.2018,5100998749,"£1,137.00",British Parking Association,,,,,
Manchester City Council,Chief Executives,Equipment Operating Lease,09.10.2018,5100999055,"£3,535.98",Xerox Finance Ltd,,,,,
Manchester City Council,Regeneration Finance,Subsistence and Conference Expenses,09.10.2018,5100998970,£850.00,The British Computer Society,,,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,09.10.2018,5100998781,"£8,364.35",Clearview Event Services Limited,,,,,
Manchester City Council,Highways Services,Cleaning Equipment,09.10.2018,5100998022,£900.00,Ramora Ltd,,,,,
Manchester City Council,Highways Services,Cleaning Equipment,09.10.2018,5100998055,£900.00,Ramora Ltd,,,,,
Manchester City Council,Highways Services,Cleaning Equipment,09.10.2018,5100998098,£900.00,Ramora Ltd,,,,,
Manchester City Council,Adult Social Care,Payments for services,09.10.2018,5100999156,"£13,445.57",H.G. Care Services Ltd,,,,,
Manchester City Council,Adult Social Care,Payments for services,09.10.2018,5100999154,"£7,014.93",H.G. Care Services Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Security,09.10.2018,5100998535,"£1,467.81",Showsec International Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100998989,"£38,797.82",Mace Ltd,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100998994,"£21,434.00",Mace Ltd,,,,,
Manchester City Council,Regeneration Finance,Professional fees,09.10.2018,5100998259,"£2,500.00",AECOM Limited,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100998829,"£12,000.00",Barnardo's North West,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100999273,"£65,000.00",Riverside ECHG,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100999272,"-£65,000.00",Riverside ECHG,,,,,
Manchester City Council,Highways Services,Tipping Charges - Tonnage,09.10.2018,5100998961,"£1,441.28",J.Hopkins (Contractors) Ltd.,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,09.10.2018,5100999002,"£5,000.00",Rainbow Haven,,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,09.10.2018,5100998976,"£1,950.00",Arboricultural Services Treework,,,,,
Manchester City Council,Regeneration Finance,Grounds Maintenance Costs,09.10.2018,5100998969,£900.00,Arboricultural Services Treework,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999127,"£4,176.48",Reach Publishing Services Ltd,,,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,09.10.2018,5100998279,"£4,770.00",Redacted Personal Information,,,,,
Manchester City Council,Adult Social Care,Payments for services,09.10.2018,5100999117,"£26,665.43",Care Concepts Ltd,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100999089,"£6,737.00",Great Places Housing Association,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100999093,"£2,290.00",Great Places Housing Association,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999026,£816.00,Morris & Alexander Ltd,,,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,09.10.2018,5100977236,"£2,975.00",Greater Manchester Mental Health,,,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,09.10.2018,5100998995,"£2,975.00",Greater Manchester Mental Health,,,,,
Manchester City Council,Adult Social Care,Third party payments to Health Authority,09.10.2018,5100998988,"-£2,975.00",Greater Manchester Mental Health,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,09.10.2018,5100999029,"£20,111.50",Manchester Carers Centre,,,,,
Manchester City Council,Adult Social Care,Professional fees,09.10.2018,5100998992,"£3,135.00",Pure Innovations Ltd,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100998963,"£5,312.50",Pure Innovations Ltd,,,,,
Manchester City Council,Manchester Leisure,Testing Fees,09.10.2018,5100998696,£807.00,Lancashire County Council,,,,,
Manchester City Council,Adult Social Care,Rents,09.10.2018,5100999083,"£2,156.70",Adactus Housing Group Ltd,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,09.10.2018,5100999079,"£4,889.00",Adactus Housing Group Ltd,,,,,
Manchester City Council,Adult Social Care,Supporting People Payments,09.10.2018,5100999079,"£2,780.00",Adactus Housing Group Ltd,,,,,
Manchester City Council,Highways Services,Hire of Machinery,09.10.2018,5100999034,"£3,000.00",Cooper Clarke Group Ltd,,,,,
Manchester City Council,Highways Services,Hire of Machinery,09.10.2018,5100999038,"-£3,000.00",Cooper Clarke Group Ltd,,,,,
Manchester City Council,Manchester Leisure,External repairs and maintenance for buildings,09.10.2018,5100998545,£960.00,Fairway Landscapes Ltd,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,09.10.2018,5100999270,"£72,083.56",Bury M.B.C.,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,09.10.2018,5100999269,"-£72,083.56",Bury M.B.C.,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,09.10.2018,5100999009,"£7,000.00",Higher Blackley Comm.Assoc.,,,,,
Manchester City Council,Chief Executives,ICT Support & Maintenance,09.10.2018,5100998834,"£34,489.81",Insight Direct (Uk) Ltd,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.10.2018,5100999223,"£1,347.74",Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.10.2018,5100999225,"£1,343.43",Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,09.10.2018,5100999229,£831.50,Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999174,£926.25,TES Global Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999175,£926.25,TES Global Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999176,£926.25,TES Global Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999177,£926.25,TES Global Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999178,£926.25,TES Global Ltd,,,,,
Manchester City Council,Manchester Leisure,Professional fees,09.10.2018,5100999003,"£8,500.00",GMCA,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999080,"£4,500.00",Invacare Limited,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,09.10.2018,5100999129,"£4,015.67",Broomwood Primary School,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,09.10.2018,5100999123,"£1,861.26",Broomwood Primary School,,,,,
Manchester City Council,Adult Social Care,Third party payments to other Local Authorities,09.10.2018,5100999132,£755.37,Broomwood Primary School,,,,,
Manchester City Council,Regeneration Finance,External repairs and maintenance for buildings,09.10.2018,5100999169,£500.00,Manchester Working Ltd,,,,,
Manchester City Council,Corporate Services,Fees,09.10.2018,1906218385,"£6,215.40",Newlyn Plc,,,,,
Manchester City Council,Corporate Services,Fees,09.10.2018,1906218385,"-£6,215.40",Newlyn Plc,,,,,
Manchester City Council,Adult Social Care,Rents,09.10.2018,5100998982,"£33,086.13",M & Q Properties Management Ltd,,,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,09.10.2018,5100998354,"£3,390.00",Redacted Personal Information,,,,,
Manchester City Council,Housing General Fund,Building Works,09.10.2018,5100999257,"£113,788.59",Southway Housing Trust,,,,,
Manchester City Council,Housing General Fund,Building Works,09.10.2018,5100999255,"-£113,788.59",Southway Housing Trust,,,,,
Manchester City Council,Chief Executives,Professional fees,09.10.2018,5100998980,"£3,708.20",Greengage Consulting Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999036,"£2,536.17",Global Radio Services Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999043,£758.93,Global Radio Services Ltd,,,,,
Manchester City Council,Adult Social Care,Compensation Payments,09.10.2018,1906214303,"£6,101.63",The Divine Mercy Primary School,,,,,
Manchester City Council,Manchester Leisure,Furniture,09.10.2018,5100999033,"£7,300.00",thedesignconcept,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999073,£720.00,MediaCo Outdoor Limited,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999074,£720.00,MediaCo Outdoor Limited,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999077,£720.00,MediaCo Outdoor Limited,,,,,
Manchester City Council,Chief Executives,Advertising,09.10.2018,5100999078,£720.00,MediaCo Outdoor Limited,,,,,
Manchester City Council,Chief Executives,Internal Repairs and Maintenance for buildings,09.10.2018,5100998623,"£18,235.00",Data Centre Environments Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,External repairs and maintenance for buildings,09.10.2018,5100999202,"£1,000.00",Morrison Facilities Services Ltd,,,,,
Manchester City Council,Manchester Leisure,Works and associated costs for Land and Buildings,09.10.2018,5100999024,£600.00,WYG Engineering Ltd,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999183,"£16,255.50",Independent Life Solutions,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999184,"£6,000.00",Independent Life Solutions,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999185,"£1,326.00",Independent Life Solutions,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999187,"£1,080.00",Independent Life Solutions,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999186,£662.16,Independent Life Solutions,,,,,
Manchester City Council,Adult Social Care,Equipment,09.10.2018,5100999182,£654.00,Independent Life Solutions,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,09.10.2018,5100999016,"£9,905.00",Women in Prison Limited,,,,,
Manchester City Council,Chief Executives,Grant Payments,09.10.2018,5100998997,"£4,500.00",Reform Radio CIC,,,,,
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,09.10.2018,5100998984,"£13,932.00",Reform Radio CIC,,,,,
Manchester City Council,Regeneration Finance,Third party payments relating to Voluntary Organisations,09.10.2018,5100999103,"£5,985.00",Reform Radio CIC,,,,,
Manchester City Council,Chief Executives,Grant Payments,09.10.2018,5100999088,"£7,312.50",Company Chameleon Limited,,,,,
Manchester City Council,Chief Executives,Grant Payments,09.10.2018,5100999085,"-£7,312.50",Company Chameleon Limited,,,,,
Manchester City Council,Corporate Services,Fees,09.10.2018,5100998846,"£7,932.60",Pannone Corporate LLP,,,,,
Manchester City Council,Corporate Services,Fees,09.10.2018,5100998810,"£2,782.00",Pannone Corporate LLP,,,,,
Manchester City Council,Manchester Leisure,Payments for services,09.10.2018,5100999021,"£8,993.00",The Fitness Training Academy Ltd,,,,,
Manchester City Council,Adult Social Care,Rents,09.10.2018,5100999119,"£110,888.05",Mack Residential Letting Ltd,,,,,
Manchester City Council,Adult Social Care,Professional fees,09.10.2018,5100999105,"£4,887.50",Charles Bailey Associates Ltd,,,,,
Manchester City Council,Chief Executives,Hire of Equipment,09.10.2018,5100999023,"£1,090.00",Universal Live,,,,,
Manchester City Council,Chief Executives,Hire of Equipment,09.10.2018,5100999025,£680.00,Universal Live,,,,,
Manchester City Council,Adult Social Care,Bed and Breakfast Accommodation Expenditure,09.10.2018,5100999068,"£17,189.00",Redacted Personal Information,,,,,
Manchester City Council,Regeneration Finance,Third party payments to other Local Authorities,09.10.2018,5100998945,"£6,300.00",St Vincent's Support Centre,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,09.10.2018,5100999020,"£5,000.00",Together Dementia Support,,,,,
Manchester City Council,Adult Social Care,Transport Coach Hire,09.10.2018,5100998141,"£28,941.00",JCT Travel Ltd,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,09.10.2018,1906223914,"£71,429.00",Office for Metropolitan Architectur,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,09.10.2018,1700083906,"-£71,429.00",Office for Metropolitan Architectur,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100997380,£630.00,One Manchester Limited,,,,,
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,09.10.2018,5100998910,-£630.00,One Manchester Limited,,,,,
Manchester City Council,Adult Social Care,Professional fees,09.10.2018,5100999216,"£3,814.80",EC Safeguarding Consultancy Ltd,,,,,
Manchester City Council,Adult Social Care,Professional fees,09.10.2018,5100999218,"£3,814.80",EC Safeguarding Consultancy Ltd,,,,,
Manchester City Council,Environment and Operations,Professional fees,09.10.2018,5100999017,£595.00,Solution Talk LLP,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999018,"£19,502.28",Ramboll UK Limited,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999022,"£8,175.00",Ramboll UK Limited,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100998964,"£1,912.50",Ramboll UK Limited,,,,,
Manchester City Council,Chief Executives,Printing,09.10.2018,5100999161,"£1,430.54",Ricoh UK Ltd.,,,,,
Manchester City Council,Chief Executives,Printing,09.10.2018,5100999162,"-£1,430.54",Ricoh UK Ltd.,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999007,"£160,000.00",Purcell Miller Tritton LLP,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999012,"£17,500.00",Purcell Miller Tritton LLP,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999004,"£7,500.00",Purcell Miller Tritton LLP,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100998965,"£5,687.50",Purcell Miller Tritton LLP,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999008,"£4,000.00",Purcell Miller Tritton LLP,,,,,
Manchester City Council,Regeneration Finance,General Office expenses,09.10.2018,5100999007,"£1,233.48",Purcell Miller Tritton LLP,,,,,
Manchester City Council,Adult Social Care,Payments for services,09.10.2018,5100997996,"£2,120.00",North Staffordshire Combined,,,,,
Manchester City Council,Adult Social Care,Payments for services,09.10.2018,5100999032,"-£2,120.00",North Staffordshire Combined,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999313,"£1,948,141.00",FQ Developments,,,,,
Manchester City Council,Corporate Services,Works and associated costs for Land and Buildings,09.10.2018,5100999309,"-£1,948,141.00",FQ Developments,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,09.10.2018,5100999311,"£174,506.02",Blue Dog Property 2 Ltd,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,09.10.2018,5100999307,"-£174,506.02",Blue Dog Property 2 Ltd,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,09.10.2018,5100999312,"£1,922,282.00",Manchester New Square Partnership,,,,,
Manchester City Council,Corporate Services,Long Term Debtors,09.10.2018,5100999310,"-£1,922,282.00",Manchester New Square Partnership,,,,,
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,09.10.2018,5100999197,"£19,200.00",BLACC Ltd,,,,,
Manchester City Council,Regeneration Finance,Professional fees,09.10.2018,1906218381,£758.63,ARCH,,,,,
Manchester City Council,Regeneration Finance,Compensation Payments,09.10.2018,1906221328,£800.00,Redacted Personal Information,,,,,
Manchester City Council,Chief Executives,Publications,10.10.2018,5100999427,"£31,225.65",Lexis Nexis Uk,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.10.2018,5100998857,"£6,871.61",Clearview Event Services Limited,,,,,
Manchester City Council,Corporate Services,Publications,10.10.2018,5100999238,£765.44,Child Poverty Action Group,,,,,
Manchester City Council,Manchester Leisure,Hire of Equipment,10.10.2018,5100998803,"£7,740.50",Tube Uk Ltd,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.10.2018,5100998892,"£15,540.00",Utilities Design & Planning Ltd,,,,,
Manchester City Council,Environment and Operations,Infrastructure - Adaptations,10.10.2018,5100999106,"£50,000.00",Utilities Design & Planning Ltd,,,,,
Manchester City Council,Highways Services,Hire of Machinery,10.10.2018,5100998797,"£4,465.00",Utilities Design & Planning Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,10.10.2018,5100999353,"£1,038.50",R & M Developments Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,10.10.2018,5100999354,"£1,038.50",R & M Developments Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,10.10.2018,5100999352,"£1,012.50",R & M Developments Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,10.10.2018,5100999355,"£1,012.50",R & M Developments Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Security,10.10.2018,5100998950,"£5,892.06",Showsec International Ltd,,,,,
Manchester City Council,Adult Social Care,Equipment,10.10.2018,1906227692,£516.92,Argos Business Solutions,,,,,
Manchester City Council,Regeneration Finance,Contract Cleaning External,10.10.2018,5100998879,£926.44,M & M Cleaning Services Ltd,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999436,"£3,301.18",Rexel UK Ltd,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999438,"£1,198.48",Rexel UK Ltd,,,,,
Manchester City Council,Corporate Services,Professional fees,10.10.2018,5100998548,"£2,100.33",Experian Limited,,,,,
Manchester City Council,Regeneration Finance,Security,10.10.2018,5100999193,"£372,462.26",Group 4 Total Security Ltd T/A G4S,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.10.2018,5100999593,"£9,978.26",Daly Drains Ltd,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.10.2018,5100999595,"£3,054.30",Daly Drains Ltd,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.10.2018,5100999587,"-£3,054.30",Daly Drains Ltd,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.10.2018,5100999589,"-£9,978.26",Daly Drains Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Catering Provisions,10.10.2018,1906227597,£717.59,Brake Bros Foodservice Ltd,,,,,
Manchester City Council,Corporate Services,Training and Development,10.10.2018,5100999081,"£3,000.00",Stockport College,,,,,
Manchester City Council,Chief Executives,Catering,10.10.2018,5100999264,£567.50,Good Mood Food,,,,,
Manchester City Council,Chief Executives,Advertising,10.10.2018,5100999124,"£2,823.52",Reach Publishing Services Ltd,,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.10.2018,5100999190,"£5,703.49",Deekay Technical Recruitment Ltd,,,,,
Manchester City Council,Chief Executives,Third party payments relating to Voluntary Organisations,10.10.2018,5100998595,"£114,000.00",HOME,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,10.10.2018,5100999361,"£2,466.00",The Pennine Acute Hospital Nhs Trus,,,,,
Manchester City Council,Regeneration Finance,Rodent and Pest Control,10.10.2018,5100998946,"£7,647.97",Victoria Baths Trust,,,,,
Manchester City Council,Regeneration Finance,Third party payments to other Local Authorities,10.10.2018,5100999281,"£11,812.50",Rochdale MBC,,,,,
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,10.10.2018,5100999398,"£1,676,400.00",Northwards Housing Limited,,,,,
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,10.10.2018,5100999407,"£1,676,400.00",Northwards Housing Limited,,,,,
Manchester City Council,Housing Revenue Account,Northwards Repairs Fee,10.10.2018,5100999412,"-£1,676,400.00",Northwards Housing Limited,,,,,
Manchester City Council,Housing Revenue Account,Northwards Management Fee,10.10.2018,5100999397,"£27,198.11",Northwards Housing Limited,,,,,
Manchester City Council,Housing General Fund,Building Works,10.10.2018,5100999348,"£40,402.40",Manchester Care & Repair Ltd,,,,,
Manchester City Council,Adult Social Care,Hire of Premises,10.10.2018,5100998847,£775.00,Chancellors Hotel & Conf Centre,,,,,
Manchester City Council,Regeneration Finance,Professional fees,10.10.2018,5100998891,"£1,575.83",P Mcguinness & Co Ltd,,,,,
Manchester City Council,Corporate Services,Compensation Payments,10.10.2018,1906227296,"£1,066.50",HMCTS (Manchester),,,,,
Manchester City Council,Corporate Services,Compensation Payments,10.10.2018,1906227875,£558.00,HMCTS (Manchester),,,,,
Manchester City Council,Corporate Services,Compensation Payments,10.10.2018,1906228012,£521.50,HMCTS (Manchester),,,,,
Manchester City Council,Adult Social Care,Compensation Payments,10.10.2018,1906220869,"£6,500.00",Platt Halpern,,,,,
Manchester City Council,Highways Services,"Clothes, Uniform and Laundry",10.10.2018,5100999278,"£2,232.36",Longworth Ltd,,,,,
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,10.10.2018,5100999575,"£24,846.80",Manchester Van Hire Ltd,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999421,"£15,567.09",Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999415,"£3,270.00",Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999418,"£2,169.51",Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999410,"£1,984.71",Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999411,£711.38,Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999446,£601.39,Pts Plumbing Trade Supplies,,,,,
Manchester City Council,Chief Executives,I T Provision,10.10.2018,1906227543,£833.75,Amazon Co.Uk,,,,,
Manchester City Council,Chief Executives,I T Provision,10.10.2018,1906227373,£559.55,Amazon Co.Uk,,,,,
Manchester City Council,Environment and Operations,Construction Works,10.10.2018,5100999317,"£57,201.62",GMCA,,,,,
Manchester City Council,Environment and Operations,Construction Works,10.10.2018,5100998718,"£3,393.54",GMCA,,,,,
Manchester City Council,Environment and Operations,Construction Works,10.10.2018,5100999316,"-£57,201.62",GMCA,,,,,
Manchester City Council,Adult Social Care,Security,10.10.2018,5100999591,"£1,091.00",WADSWORTH SECURITY PRODUCTS,,,,,
Manchester City Council,Adult Social Care,Security,10.10.2018,5100999586,"-£1,091.00",WADSWORTH SECURITY PRODUCTS,,,,,
Manchester City Council,Manchester Leisure,Professional fees,10.10.2018,5100999447,£911.95,Running Imp Int. Sports Ltd,,,,,
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,10.10.2018,5100999422,"£6,243.21",Manchester Working Ltd,,,,,
Manchester City Council,Chief Executives,Funeral and coroner related services,10.10.2018,5100999362,£580.80,Redacted Personal Information,,,,,
Manchester City Council,Highways Services,Payments to Sub-Contractors,10.10.2018,5100996367,"£5,948.03",Northern Marking Limited,,,,,
Manchester City Council,Chief Executives,Advertising,10.10.2018,5100999256,"£10,213.56",Global Radio Services Ltd,,,,,
Manchester City Council,Chief Executives,Advertising,10.10.2018,5100999254,"£3,491.07",Global Radio Services Ltd,,,,,
Manchester City Council,Adult Social Care,Equipment,10.10.2018,5100999444,"£2,224.90",Aidapt Bathrooms Ltd,,,,,
Manchester City Council,Highways Services,Occupational Health services,10.10.2018,1906227186,£720.00,Healthwork Ltd,,,,,
Manchester City Council,Adult Social Care,Payments for services,10.10.2018,5100998907,"£4,386.10",Enhance EHC Ltd,,,,,
Manchester City Council,Adult Social Care,Rents,10.10.2018,5100999179,"£32,796.22",United Property Management Ltd,,,,,
Manchester City Council,Corporate Services,Training and Development,10.10.2018,5100999394,£900.00,CIPFA NW & NW Audit Group,,,,,
Manchester City Council,Adult Social Care,Personal needs of client,10.10.2018,5100984906,"£4,088.23",Specialised Orthotic Services Ltd,,,,,
Manchester City Council,Adult Social Care,Personal needs of client,10.10.2018,5100999262,-£600.00,Specialised Orthotic Services Ltd,,,,,
Manchester City Council,GMIST (Greater Mcr Integrated),Storage Costs,10.10.2018,5100997942,"£2,931.94",DeepStore,,,,,
Manchester City Council,GMIST (Greater Mcr Integrated),Storage Costs,10.10.2018,5100997941,£585.21,DeepStore,,,,,
Manchester City Council,Chief Executives,Agency staff provision,10.10.2018,5100999297,"£1,474.90",Ashberry Recruitment Ltd,,,,,
Manchester City Council,Chief Executives,Examination Fees,10.10.2018,5100999358,"£2,450.00",ROAR Forensics Ltd,,,,,
